"TraceType";"Single"
"TriggerType";""
"SamplePeriod";"0:0:1:0:0"
"SampleRate";"1"
"ExternalFileStorage";"False"
"MaxSamplesPerFile";"4500"
"MaxDataSetSize";"100"
"TargetDirectory";"C:\OMRON\Data\DataTrace\"
"FilePrefix";""

"SampleTimingType";"interval"
"TaskName";"BaseControl"
"SamplingInterval";"50"
"Triggers";"False:::"
"PostTriggerDataRatio";"100"
"StartOnRun";"False"
"EnableRealTimeDisplay";"False"
"BehaviorWhenMax";"Stop"

"TriggerRecordTime";"1771297396590373975"
"StartRawTime";"1771297396594376196"
"Index";"Date";"ClockTime";"RawTime";"TraceSampID";"Voltage_L1_N:REAL";"Voltage_L2_N:REAL";"Voltage_L3_N:REAL";"Current_L1:REAL";"Current_L2:REAL";"Current_L3:REAL";"Total_Active_Power:REAL";"Total_Consumed_Energy:REAL";"InvOutCurrent_Real:REAL";"Machine.IMotor:REAL";"KesmeZamani_s:INT";"KesilenAlan_m2:REAL";"AutoPar.SawDiameter:REAL";"AutoPar.SawThickness:REAL";"AutoPar.SawTooth:DINT";"Malzeme.D_H1:REAL";"Malzeme.W1:REAL";"Z_Kafa_HMI:LREAL";"Kafa.Act.Pos:LREAL";"Kafa.Act.Trq:LREAL";"Kafa.Act.Vel:LREAL";"CurrentF:REAL";"CurrentS:REAL";"AutoPar.FeedRate1:REAL";"AutoPar.FeedRate2:REAL";"AutoPar.PeripSpeed:REAL";"KafaCurrent_1_abs:LREAL";"Z_Accelerometer:REAL";"X_Accelerometer:REAL";"Y_Accelerometer:REAL";"KesmeZamani_min:INT"
"29";"2026-02-17";"03:03:16.59";"1771297396594376196";"";"227.100006";"226.800003";"227.399994";"2.79999995";"3.5999999";"2.81999993";"1352";"27985";"0";"0";"53";"3.01347899";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999931880399";"0.90000000000000002";"-0.000425747487042827";"2.97089291";"120";"0.0700000003";"2.97089291";"120";"0.036900000000000002";"47.5746002";"48.4634895";"44.4984093";"1"
"30";"2026-02-17";"03:03:16.69";"1771297396694374786";"";"227.100006";"226.800003";"227.399994";"2.79999995";"3.5999999";"2.81999993";"1352";"27985";"0";"0";"53";"3.01347899";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000034059798";"0.90000000000000002";"0.00059604644775390603";"2.97089291";"120";"0.0700000003";"2.97089291";"120";"0.036900000000000002";"47.5460281";"48.4984093";"44.5428581";"1"
"31";"2026-02-17";"03:03:16.79";"1771297396794376243";"";"227.100006";"226.800003";"227.399994";"2.79999995";"3.5999999";"2.81999993";"1352";"27985";"0";"0";"53";"3.01347899";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485";"0.90000000000000002";"-0.00034059797826557802";"2.97089291";"120";"0.0700000003";"2.97089291";"120";"0.036900000000000002";"47.5079384";"48.4571419";"44.469841";"1"
"32";"2026-02-17";"03:03:16.89";"1771297396894376779";"";"227.100006";"226.800003";"227.399994";"2.79999995";"3.5999999";"2.81999993";"1352";"27985";"0";"0";"53";"3.01347899";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999965940202";"0.90000000000000002";"-8.5149508777249098E-05";"2.97089291";"120";"0.0700000003";"2.97089291";"120";"0.036900000000000002";"47.5746002";"48.7492104";"44.6698418";"1"
"33";"2026-02-17";"03:03:16.99";"1771297396994378249";"";"227.100006";"226.800003";"227.399994";"2.79999995";"3.5999999";"2.81999993";"1352";"27986";"0";"0";"53";"3.01347899";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.000000510897";"0.90000000000000002";"0.00034059794984386799";"2.97089291";"120";"0.0700000003";"2.97089291";"120";"0.036900000000000002";"47.7396889";"48.4857101";"44.6571388";"1"
"34";"2026-02-17";"03:03:17.09";"1771297397094381091";"";"227.100006";"226.800003";"227.399994";"2.79999995";"3.5999999";"2.81999993";"1352";"27986";"0";"0";"53";"3.01347899";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485";"0.90000000000000002";"-0.00051089696739836698";"2.97089291";"120";"0.0700000003";"2.97089291";"120";"0.036900000000000002";"47.5968208";"48.69524";"44.7015915";"1"
"35";"2026-02-17";"03:03:17.19";"1771297397194379951";"";"227.100006";"226.800003";"227.399994";"2.79999995";"3.5999999";"2.81999993";"1352";"27986";"0";"0";"53";"3.01347899";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999965940202";"0.90000000000000002";"0.00017029898913278901";"2.97089291";"120";"0.0700000003";"2.97089291";"120";"0.036900000000000002";"47.6571388";"48.4285698";"44.6380997";"1"
"36";"2026-02-17";"03:03:17.29";"1771297397294380981";"";"227.100006";"226.800003";"227.399994";"2.79999995";"3.5999999";"2.81999993";"1352";"27986";"0";"0";"53";"3.01347899";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999982970098";"0.90000000000000002";"0.00017029898913278901";"2.97089291";"120";"0.0700000003";"2.97089291";"120";"0.036900000000000002";"47.5555611";"48.5619011";"44.5841293";"1"
"37";"2026-02-17";"03:03:17.39";"1771297397394382871";"";"227.100006";"226.800003";"227.399994";"2.79999995";"3.5999999";"2.81999993";"1352";"27986";"0";"0";"53";"3.01347899";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999812671098";"0.90000000000000002";"-0.00110694341515227";"2.97089291";"120";"0.0700000003";"2.97089291";"120";"0.036900000000000002";"47.7238083";"48.6507912";"44.7269897";"1"
"38";"2026-02-17";"03:03:17.49";"1771297397494382477";"";"227.100006";"226.800003";"227.399994";"2.79999995";"3.5999999";"2.81999993";"1352";"27986";"0";"0";"53";"3.01347899";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.000000510897";"0.90000000000000002";"-0.000425747487042827";"2.97089291";"120";"0.0700000003";"2.97089291";"120";"0.036900000000000002";"47.5999985";"48.5650787";"44.6158791";"1"
