"TraceType";"Single"
"TriggerType";""
"SamplePeriod";"0:0:1:0:0"
"SampleRate";"1"
"ExternalFileStorage";"False"
"MaxSamplesPerFile";"4500"
"MaxDataSetSize";"100"
"TargetDirectory";"C:\OMRON\Data\DataTrace\"
"FilePrefix";""

"SampleTimingType";"interval"
"TaskName";"BaseControl"
"SamplingInterval";"50"
"Triggers";"False:::"
"PostTriggerDataRatio";"100"
"StartOnRun";"False"
"EnableRealTimeDisplay";"False"
"BehaviorWhenMax";"Stop"

"TriggerRecordTime";"1771294711072044974"
"StartRawTime";"1771294711082044274"
"Index";"Date";"ClockTime";"RawTime";"TraceSampID";"Voltage_L1_N:REAL";"Voltage_L2_N:REAL";"Voltage_L3_N:REAL";"Current_L1:REAL";"Current_L2:REAL";"Current_L3:REAL";"Total_Active_Power:REAL";"Total_Consumed_Energy:REAL";"InvOutCurrent_Real:REAL";"Machine.IMotor:REAL";"KesmeZamani_s:INT";"KesilenAlan_m2:REAL";"AutoPar.SawDiameter:REAL";"AutoPar.SawThickness:REAL";"AutoPar.SawTooth:DINT";"Malzeme.D_H1:REAL";"Malzeme.W1:REAL";"Z_Kafa_HMI:LREAL";"Kafa.Act.Pos:LREAL";"Kafa.Act.Trq:LREAL";"Kafa.Act.Vel:LREAL";"CurrentF:REAL";"CurrentS:REAL";"AutoPar.FeedRate1:REAL";"AutoPar.FeedRate2:REAL";"AutoPar.PeripSpeed:REAL";"KafaCurrent_1_abs:LREAL";"Z_Accelerometer:REAL";"X_Accelerometer:REAL";"Y_Accelerometer:REAL";"KesmeZamani_min:INT"
"9";"2026-02-17";"02:18:31.08";"1771294711082044274";"";"227.800003";"227.5";"228.100006";"2.77999997";"3.5999999";"2.92000008";"1384";"24467";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645842688398";"0.29999999999999999";"0.00025544849791003799";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.5968208";"48.4222183";"44.6317482";"2"
"10";"2026-02-17";"02:18:31.18";"1771294711182045434";"";"227.800003";"227.5";"228.100006";"2.77999997";"3.5999999";"2.92000008";"1384";"24467";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645825658502";"0.29999999999999999";"0.00025544846948832899";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.6507912";"48.4984093";"44.6666718";"2"
"11";"2026-02-17";"02:18:31.28";"1771294711282046637";"";"227.800003";"227.5";"228.100006";"2.77999997";"3.5999999";"2.92000008";"1384";"24467";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645757538901";"0.29999999999999999";"0.00025544849791003799";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.016400000000000001";"47.6285706";"48.4190483";"44.5523796";"2"
"12";"2026-02-17";"02:18:31.38";"1771294711382052736";"";"227.800003";"227.5";"228.100006";"2.77999997";"3.5999999";"2.92000008";"1384";"24467";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.426458086286";"0.29999999999999999";"-0.00017029898913278901";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.6666718";"48.4412689";"44.6476212";"2"
"13";"2026-02-17";"02:18:31.48";"1771294711482047783";"";"227.800003";"227.5";"228.100006";"2.77999997";"3.5999999";"2.92000008";"1384";"24467";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645825658502";"0.29999999999999999";"8.5149480355539695E-05";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.5746002";"48.5492096";"44.5968208";"2"
"14";"2026-02-17";"02:18:31.58";"1771294711582049092";"";"227.800003";"227.5";"228.100006";"2.77999997";"3.5999999";"2.92000008";"1384";"24468";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645774568803";"0.29999999999999999";"-8.5149480355539695E-05";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.6476212";"48.5777817";"44.7333298";"2"
"15";"2026-02-17";"02:18:31.68";"1771294711682050268";"";"227.800003";"227.5";"228.100006";"2.77999997";"3.5999999";"2.92000008";"1384";"24468";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645723479097";"0.29999999999999999";"8.5149508777249098E-05";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.016400000000000001";"47.6063499";"48.5206299";"44.69524";"2"
"16";"2026-02-17";"02:18:31.78";"1771294711782047262";"";"227.800003";"227.5";"228.100006";"2.77999997";"3.5999999";"2.92000008";"1384";"24468";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.426458086286";"0.29999999999999999";"-0.00017029898913278901";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.5047607";"48.7238083";"44.5746002";"2"
"17";"2026-02-17";"02:18:31.88";"1771294711882054697";"";"227.800003";"227.5";"228.100006";"2.77999997";"3.5999999";"2.92000008";"1384";"24468";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645791598699";"0.29999999999999999";"8.5149480355539695E-05";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.5396805";"48.4857101";"44.5460281";"2"
"18";"2026-02-17";"02:18:31.98";"1771294711982052816";"";"227.800003";"227.5";"228.100006";"2.77999997";"3.5999999";"2.92000008";"1384";"24468";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645825658502";"0.29999999999999999";"0.00042574745862111702";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.8158684";"48.533329";"44.7777786";"2"
"19";"2026-02-17";"02:18:32.08";"1771294712082054193";"";"227.800003";"227.5";"228.100006";"2.77999997";"3.5999999";"2.92000008";"1384";"24468";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645757538901";"0.29999999999999999";"-0.00017029896071107901";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.7555618";"48.5365105";"44.7492104";"2"
"20";"2026-02-17";"02:18:32.18";"1771294712182054618";"";"227.800003";"227.5";"228.100006";"2.77999997";"3.5999999";"2.92000008";"1384";"24468";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645774568803";"0.29999999999999999";"8.5149480355539695E-05";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.6127014";"48.533329";"44.6317482";"2"
"21";"2026-02-17";"02:18:32.28";"1771294712282055401";"";"227.800003";"227.5";"228.100006";"2.77999997";"3.5999999";"2.92000008";"1384";"24468";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.426458597183";"0.29999999999999999";"-8.5149508777249098E-05";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.6380997";"48.4190483";"44.60952";"2"
"22";"2026-02-17";"02:18:32.38";"1771294712382058977";"";"227.800003";"227.5";"228.100006";"2.77999997";"3.5999999";"2.92000008";"1384";"24468";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.426458086286";"0.29999999999999999";"0.00034059797826557802";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.6634903";"48.6190491";"44.7396889";"2"
"23";"2026-02-17";"02:18:32.48";"1771294712482057772";"";"227.800003";"227.5";"228.100006";"2.77999997";"3.5999999";"2.92000008";"1384";"24468";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.426458086286";"0.29999999999999999";"8.5149508777249098E-05";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.6603203";"48.4793701";"44.6571388";"2"
"24";"2026-02-17";"02:18:32.58";"1771294712582057950";"";"227.899994";"227.5";"228.100006";"2.79999995";"3.61999989";"2.9000001";"1384";"24468";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645757538901";"0.29999999999999999";"-0.00017029896071107901";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.4476204";"48.60952";"44.5396805";"2"
"25";"2026-02-17";"02:18:32.68";"1771294712682059376";"";"227.899994";"227.5";"228.100006";"2.79999995";"3.61999989";"2.9000001";"1384";"24468";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645791598699";"0.29999999999999999";"0.00017029896071107901";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.4920692";"48.3841286";"44.4285698";"2"
"26";"2026-02-17";"02:18:32.78";"1771294712782060137";"";"227.899994";"227.5";"228.100006";"2.79999995";"3.61999989";"2.9000001";"1384";"24468";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.426458086286";"0.29999999999999999";"8.5149508777249098E-05";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.9047585";"48.3365097";"44.8984108";"2"
"27";"2026-02-17";"02:18:32.88";"1771294712882064961";"";"227.899994";"227.5";"228.100006";"2.79999995";"3.61999989";"2.9000001";"1384";"24468";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645876748202";"0.29999999999999999";"0.00059604644775390603";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.6222191";"48.5714302";"44.6793709";"2"
"28";"2026-02-17";"02:18:32.98";"1771294712982061755";"";"227.899994";"227.5";"228.100006";"2.79999995";"3.61999989";"2.9000001";"1384";"24468";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645791598699";"0.29999999999999999";"0.00034059794984386799";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.6920586";"48.4825401";"44.6920586";"2"
"29";"2026-02-17";"02:18:33.08";"1771294713082062776";"";"227.899994";"227.5";"228.100006";"2.79999995";"3.61999989";"2.9000001";"1384";"24468";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645791598699";"0.29999999999999999";"-8.5149508777249098E-05";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.6571388";"48.4317513";"44.5936508";"2"
"30";"2026-02-17";"02:18:33.18";"1771294713182064002";"";"227.899994";"227.5";"228.100006";"2.79999995";"3.61999989";"2.9000001";"1384";"24468";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645740508999";"0.29999999999999999";"-8.5149508777249098E-05";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.69841";"48.4000015";"44.6285706";"2"
"31";"2026-02-17";"02:18:33.28";"1771294713282064528";"";"227.899994";"227.5";"228.100006";"2.79999995";"3.61999989";"2.9000001";"1384";"24468";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645757538901";"0.29999999999999999";"0.00076634543688669499";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.5619011";"48.5999985";"44.6666718";"2"
"32";"2026-02-17";"02:18:33.38";"1771294713382070598";"";"227.899994";"227.5";"228.100006";"2.79999995";"3.61999989";"2.9000001";"1384";"24468";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645842688398";"0.29999999999999999";"0.00017029898913278901";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.6571388";"48.4539719";"44.6571388";"2"
"33";"2026-02-17";"02:18:33.48";"1771294713482066458";"";"227.899994";"227.5";"228.100006";"2.79999995";"3.61999989";"2.9000001";"1384";"24468";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645757538901";"0.29999999999999999";"0";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.3269806";"48.4571419";"44.3745995";"2"
"34";"2026-02-17";"02:18:33.58";"1771294713582067335";"";"227.899994";"227.5";"228.100006";"2.79999995";"3.61999989";"2.9000001";"1384";"24468";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645672389398";"0.29999999999999999";"-0.00076634543688669499";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.5079384";"48.3968315";"44.4793701";"2"
"35";"2026-02-17";"02:18:33.68";"1771294713682069162";"";"227.899994";"227.5";"228.100006";"2.79999995";"3.61999989";"2.9000001";"1384";"24468";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645842688398";"0.29999999999999999";"0.00034059797826557802";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.5555611";"48.530159";"44.7015915";"2"
"36";"2026-02-17";"02:18:33.78";"1771294713782069329";"";"227.899994";"227.5";"228.100006";"2.79999995";"3.61999989";"2.9000001";"1384";"24468";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645842688398";"0.29999999999999999";"0.00042574745862111702";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.6254005";"48.469841";"44.6634903";"2"
"37";"2026-02-17";"02:18:33.88";"1771294713882075979";"";"227.899994";"227.5";"228.100006";"2.79999995";"3.61999989";"2.9000001";"1384";"24468";"0";"0";"3";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645876748202";"0.29999999999999999";"0.000425747487042827";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.5904808";"48.5809517";"44.6793709";"2"
"38";"2026-02-17";"02:18:33.98";"1771294713982071610";"";"227.899994";"227.5";"228.100006";"2.79999995";"3.61999989";"2.9000001";"1384";"24468";"0";"0";"0";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645791598699";"0.29999999999999999";"-8.5149508777249098E-05";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.5746002";"48.5714302";"44.7492104";"0"
"39";"2026-02-17";"02:18:34.08";"1771294714082072232";"";"227.899994";"227.5";"228.100006";"2.79999995";"3.61999989";"2.9000001";"1384";"24468";"0";"0";"0";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645672389398";"0.29999999999999999";"-8.5149508777249098E-05";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.5968208";"48.6190491";"44.7460289";"0"
"40";"2026-02-17";"02:18:34.18";"1771294714182073134";"";"227.899994";"227.5";"228.100006";"2.79999995";"3.61999989";"2.9000001";"1384";"24468";"0";"0";"0";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42646438734897";"0.29999999999999999";"0.0018732888520389701";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.6444397";"48.6127014";"44.69841";"0"
"41";"2026-02-17";"02:18:34.28";"1771294714282070681";"";"227.899994";"227.5";"228.100006";"2.79999995";"3.61999989";"2.9000001";"1384";"24468";"0";"0";"0";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645553180103";"0.29999999999999999";"0.0011920928955078099";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.0123";"47.6761894";"48.5206299";"44.6158791";"0"
"42";"2026-02-17";"02:18:34.38";"1771294714382080825";"";"227.899994";"227.5";"228.100006";"2.79999995";"3.61999989";"2.9000001";"1384";"24468";"0";"0";"0";"2.67864799";"899.999878";"4.19999981";"60";"292";"115";"22.426513671875";"472.42645433970898";"0.40000000000000002";"-8.5149508777249098E-05";"2.3342731";"120";"0.0549999997";"2.3342731";"120";"0.016400000000000001";"47.39048";"48.4285698";"44.4825401";"0"
