"TraceType";"Single"
"TriggerType";""
"SamplePeriod";"0:0:1:0:0"
"SampleRate";"1"
"ExternalFileStorage";"False"
"MaxSamplesPerFile";"4500"
"MaxDataSetSize";"100"
"TargetDirectory";"C:\OMRON\Data\DataTrace\"
"FilePrefix";""

"SampleTimingType";"interval"
"TaskName";"BaseControl"
"SamplingInterval";"50"
"Triggers";"False:::"
"PostTriggerDataRatio";"100"
"StartOnRun";"False"
"EnableRealTimeDisplay";"False"
"BehaviorWhenMax";"Stop"

"TriggerRecordTime";"1771287895470878505"
"StartRawTime";"1771287895544880295"
"Index";"Date";"ClockTime";"RawTime";"TraceSampID";"Voltage_L1_N:REAL";"Voltage_L2_N:REAL";"Voltage_L3_N:REAL";"Current_L1:REAL";"Current_L2:REAL";"Current_L3:REAL";"Total_Active_Power:REAL";"Total_Consumed_Energy:REAL";"InvOutCurrent_Real:REAL";"Machine.IMotor:REAL";"KesmeZamani_s:INT";"KesilenAlan_m2:REAL";"AutoPar.SawDiameter:REAL";"AutoPar.SawThickness:REAL";"AutoPar.SawTooth:DINT";"Malzeme.D_H1:REAL";"Malzeme.W1:REAL";"Z_Kafa_HMI:LREAL";"Kafa.Act.Pos:LREAL";"Kafa.Act.Trq:LREAL";"Kafa.Act.Vel:LREAL";"CurrentF:REAL";"CurrentS:REAL";"AutoPar.FeedRate1:REAL";"AutoPar.FeedRate2:REAL";"AutoPar.PeripSpeed:REAL";"KafaCurrent_1_abs:LREAL";"Z_Accelerometer:REAL";"X_Accelerometer:REAL";"Y_Accelerometer:REAL";"KesmeZamani_min:INT"
"19";"2026-02-17";"00:24:55.54";"1771287895544880295";"";"227.800003";"227.800003";"228.100006";"3";"3.72000003";"2.94000006";"1504";"17619";"0";"0";"11";"2.07595205";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000017029902";"0.80000000000000004";"0.00017029898913278901";"2.43153501";"125";"0.0549999997";"2.43153501";"125";"0.032800000000000003";"47.6031799";"48.6222191";"44.6761894";"0"
"20";"2026-02-17";"00:24:55.64";"1771287895644880344";"";"227.800003";"227.800003";"228.100006";"3";"3.72000003";"2.94000006";"1504";"17619";"0";"0";"11";"2.07595205";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000017029902";"0.80000000000000004";"0";"2.43153501";"125";"0.0549999997";"2.43153501";"125";"0.032800000000000003";"47.5714302";"48.5428581";"44.6317482";"0"
"21";"2026-02-17";"00:24:55.74";"1771287895744885251";"";"227.800003";"227.800003";"228.100006";"3";"3.72000003";"2.94000006";"1504";"17619";"0";"0";"11";"2.07595205";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000034059798";"0.80000000000000004";"0";"2.43153501";"125";"0.0549999997";"2.43153501";"125";"0.032800000000000003";"47.6412697";"48.5968208";"44.7206306";"0"
"22";"2026-02-17";"00:24:55.84";"1771287895844881881";"";"227.800003";"227.800003";"228.100006";"3";"3.72000003";"2.94000006";"1504";"17619";"0";"0";"11";"2.07595205";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.999999489103";"0.80000000000000004";"-0.00025544846948832899";"2.43153501";"125";"0.0549999997";"2.43153501";"125";"0.032800000000000003";"47.4539719";"48.5746002";"44.4920692";"0"
"23";"2026-02-17";"00:24:55.94";"1771287895944883042";"";"227.800003";"227.800003";"228.100006";"3";"3.72000003";"2.94000006";"1504";"17620";"0";"0";"11";"2.07595205";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000034059798";"0.80000000000000004";"0";"2.43153501";"125";"0.0549999997";"2.43153501";"125";"0.032800000000000003";"47.4603195";"48.5428581";"44.4793701";"0"
"24";"2026-02-17";"00:24:56.04";"1771287896044884113";"";"227.800003";"227.800003";"228.100006";"3";"3.72000003";"2.94000006";"1504";"17620";"0";"0";"0";"2.07595205";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999965940202";"0.80000000000000004";"-0.00017029898913278901";"2.43153501";"125";"0.0549999997";"2.43153501";"125";"0.032800000000000003";"47.5904808";"48.69524";"44.6698418";"0"
"25";"2026-02-17";"00:24:56.14";"1771287896144884957";"";"227.800003";"227.800003";"228.100006";"3";"3.72000003";"2.94000006";"1504";"17620";"0";"0";"0";"2.07595205";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000017029902";"0.80000000000000004";"-8.5149480355539695E-05";"2.43153501";"125";"0.0549999997";"2.43153501";"125";"0.032800000000000003";"47.6349182";"48.7777786";"44.7428589";"0"
"26";"2026-02-17";"00:24:56.24";"1771287896244890058";"";"227.800003";"227.800003";"228.100006";"3";"3.72000003";"2.94000006";"1504";"17620";"0";"0";"0";"2.07595205";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999965940202";"0.80000000000000004";"-0.00034059797826557802";"2.43153501";"125";"0.0549999997";"2.43153501";"125";"0.032800000000000003";"47.5777817";"48.8095207";"44.7015915";"0"
"27";"2026-02-17";"00:24:56.34";"1771287896344886796";"";"227.800003";"227.800003";"228.100006";"3";"3.72000003";"2.94000006";"1504";"17620";"0";"0";"0";"2.07595205";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000034059798";"0.80000000000000004";"-0.00017029898913278901";"2.43153501";"125";"0.0549999997";"2.43153501";"125";"0.032800000000000003";"47.6031799";"48.5555611";"44.7428589";"0"
"28";"2026-02-17";"00:24:56.44";"1771287896444887480";"";"227.800003";"227.800003";"228.100006";"3";"3.72000003";"2.94000006";"1504";"17620";"0";"0";"0";"2.07595205";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999982970098";"0.80000000000000004";"-0.00025544846948832899";"2.43153501";"125";"0.0549999997";"2.43153501";"125";"0.032800000000000003";"47.2825394";"48.5650787";"44.5523796";"0"
