"TraceType";"Single"
"TriggerType";""
"SamplePeriod";"0:0:1:0:0"
"SampleRate";"1"
"ExternalFileStorage";"False"
"MaxSamplesPerFile";"4500"
"MaxDataSetSize";"100"
"TargetDirectory";"C:\OMRON\Data\DataTrace\"
"FilePrefix";""

"SampleTimingType";"interval"
"TaskName";"BaseControl"
"SamplingInterval";"50"
"Triggers";"False:::"
"PostTriggerDataRatio";"100"
"StartOnRun";"False"
"EnableRealTimeDisplay";"False"
"BehaviorWhenMax";"Stop"

"TriggerRecordTime";"1771288443603321080"
"StartRawTime";"1771288443643321511"
"Index";"Date";"ClockTime";"RawTime";"TraceSampID";"Voltage_L1_N:REAL";"Voltage_L2_N:REAL";"Voltage_L3_N:REAL";"Current_L1:REAL";"Current_L2:REAL";"Current_L3:REAL";"Total_Active_Power:REAL";"Total_Consumed_Energy:REAL";"InvOutCurrent_Real:REAL";"Machine.IMotor:REAL";"KesmeZamani_s:INT";"KesilenAlan_m2:REAL";"AutoPar.SawDiameter:REAL";"AutoPar.SawThickness:REAL";"AutoPar.SawTooth:DINT";"Malzeme.D_H1:REAL";"Malzeme.W1:REAL";"Z_Kafa_HMI:LREAL";"Kafa.Act.Pos:LREAL";"Kafa.Act.Trq:LREAL";"Kafa.Act.Vel:LREAL";"CurrentF:REAL";"CurrentS:REAL";"AutoPar.FeedRate1:REAL";"AutoPar.FeedRate2:REAL";"AutoPar.PeripSpeed:REAL";"KafaCurrent_1_abs:LREAL";"Z_Accelerometer:REAL";"X_Accelerometer:REAL";"Y_Accelerometer:REAL";"KesmeZamani_min:INT"
"14";"2026-02-17";"00:34:03.64";"1771288443643321511";"";"227";"227.199997";"227.5";"2.94000006";"3.72000003";"2.96000004";"1488";"18409";"0";"0";"17";"2.14291811";"899.999878";"4.19999981";"60";"292";"115";"15.3465270996094";"465.346457617623";"0.69999999999999996";"-0.00051089696739836698";"2.65258288";"125";"0.0599999987";"2.65258288";"125";"0.0287";"47.6634903";"48.4920692";"44.6444397";"2"
"15";"2026-02-17";"00:34:03.74";"1771288443743322351";"";"227";"227.199997";"227.5";"2.94000006";"3.72000003";"2.96000004";"1488";"18409";"0";"0";"17";"2.14291811";"899.999878";"4.19999981";"60";"292";"115";"15.3465270996094";"465.34645829881902";"0.69999999999999996";"-0.00025544846948832899";"2.65258288";"125";"0.0599999987";"2.65258288";"125";"0.0287";"47.8254013";"48.6539688";"44.8254013";"2"
"16";"2026-02-17";"00:34:03.84";"1771288443843323441";"";"227";"227.199997";"227.5";"2.94000006";"3.72000003";"2.96000004";"1488";"18409";"0";"0";"17";"2.14291811";"899.999878";"4.19999981";"60";"292";"115";"15.3465270996094";"465.34645846911798";"0.69999999999999996";"-8.5149508777249098E-05";"2.65258288";"125";"0.0599999987";"2.65258288";"125";"0.0287";"47.7841301";"48.7269897";"44.7206306";"2"
"17";"2026-02-17";"00:34:03.94";"1771288443943324547";"";"227";"227.199997";"227.5";"2.94000006";"3.72000003";"2.96000004";"1488";"18409";"0";"0";"17";"2.14291811";"899.999878";"4.19999981";"60";"292";"115";"15.3465270996094";"465.346457617623";"0.69999999999999996";"-0.00017029898913278901";"2.65258288";"125";"0.0599999987";"2.65258288";"125";"0.0287";"47.6127014";"48.5714302";"44.6698418";"2"
"18";"2026-02-17";"00:34:04.04";"1771288444043321253";"";"227";"227.199997";"227.399994";"2.94000006";"3.72000003";"2.94000006";"1480";"18409";"0";"0";"17";"2.14291811";"899.999878";"4.19999981";"60";"292";"115";"15.3465270996094";"465.34645829881902";"0.69999999999999996";"0";"2.65258288";"125";"0.0599999987";"2.65258288";"125";"0.0287";"47.6825409";"48.5936508";"44.6380997";"2"
"19";"2026-02-17";"00:34:04.14";"1771288444143326256";"";"227";"227.199997";"227.399994";"2.94000006";"3.72000003";"2.94000006";"1480";"18409";"0";"0";"17";"2.14291811";"899.999878";"4.19999981";"60";"292";"115";"15.3465270996094";"465.34645812852";"0.69999999999999996";"0";"2.65258288";"125";"0.0599999987";"2.65258288";"125";"0.0287";"47.7492104";"48.5142899";"44.6603203";"2"
"20";"2026-02-17";"00:34:04.24";"1771288444243326731";"";"227";"227.199997";"227.399994";"2.94000006";"3.72000003";"2.94000006";"1480";"18409";"0";"0";"17";"2.14291811";"899.999878";"4.19999981";"60";"292";"115";"15.3465270996094";"465.34645863941699";"0.69999999999999996";"-8.5149480355539695E-05";"2.65258288";"125";"0.0599999987";"2.65258288";"125";"0.0287";"47.6317482";"48.5238113";"44.5968208";"2"
"21";"2026-02-17";"00:34:04.34";"1771288444343327803";"";"227";"227.199997";"227.399994";"2.94000006";"3.72000003";"2.94000006";"1480";"18409";"0";"0";"17";"2.14291811";"899.999878";"4.19999981";"60";"292";"115";"15.3465270996094";"465.34645863941699";"0.69999999999999996";"0.00042574745862111702";"2.65258288";"125";"0.0599999987";"2.65258288";"125";"0.0287";"47.6888885";"48.5872993";"44.6190491";"2"
"22";"2026-02-17";"00:34:04.44";"1771288444443328419";"";"227";"227.199997";"227.399994";"2.94000006";"3.72000003";"2.94000006";"1480";"18409";"0";"0";"17";"2.14291811";"899.999878";"4.19999981";"60";"292";"115";"15.3465270996094";"465.34645744732398";"0.69999999999999996";"0.00017029898913278901";"2.65258288";"125";"0.0599999987";"2.65258288";"125";"0.0287";"47.6666718";"48.5904808";"44.6920586";"2"
"23";"2026-02-17";"00:34:04.54";"1771288444543329835";"";"227";"227.199997";"227.399994";"2.94000006";"3.72000003";"2.94000006";"1480";"18409";"0";"0";"17";"2.14291811";"899.999878";"4.19999981";"60";"292";"115";"15.3465270996094";"465.34645829881902";"0.69999999999999996";"0.00025544846948832899";"2.65258288";"125";"0.0599999987";"2.65258288";"125";"0.0287";"47.6603203";"48.5206299";"44.60952";"2"
