TraceType,Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TriggerType,,,,,,,,,,Parametre,Maksimum,Minimum,Ortalama,Standart Sapma,,,,,,,,,,,,,,,,,,,,,
SamplePeriod,0:0:1:0:0,,,,,,,,,InvOutCurrent_Real:REAL (Ana motor akımı - amper),"69,74",0,"24,67","6,54",,,,,,,,,,,,,,,,,,,,,
SampleRate,1,,,,,,,,,Machine.IMotor:REAL (Ana motor akımı - yüzdelik değer),"107,29",0,"37,95","10,06",,,,,,,,,,,,,,,,,,,,,
ExternalFileStorage,FALSE,,,,,,,,,Kafa.Act.Trq:LREAL (Servo tork),"44,6","-130,1","-4,17","4,07",,,,,,,,,,,,,,,,,,,,,
MaxSamplesPerFile,4500,,,,,,,,,Total_Consumed_Energy:REAL (Toplam tüketilen enerji),19947,19397,"19660,36","179,79",,,,,,,,,,,,,,,,,,,,,
MaxDataSetSize,100,,,,,,,,,Z_Accelerometer:REAL (Z İvmeölçer),"49,04","46,62","47,61","0,31",,,,,,,,,,,,,,,,,,,,,
TargetDirectory,C:\OMRON\Data\DataTrace\,,,,,,,,,X_Accelerometer:REAL (X İvmeölçer),"50,19","47,25","48,22","0,24",,,,,,,,,,,,,,,,,,,,,
FilePrefix,,,,,,,,,,Y_Accelerometer:REAL (Y İvmeölçer),"46,44","43,27","44,52","0,31",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleTimingType,interval,,,,,,,,,TIRLAMA 370-170,,,,,,,,,,,,,,,,,,,,,,,,,
TaskName,BaseControl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SamplingInterval,50,,,,,,,,,Parametre,Maksimum,Minimum,Ortalama,Standart Sapma,,,,,,,,,,,,,,,,,,,,,
Triggers,False:::,,,,,,,,,InvOutCurrent_Real:REAL (Ana motor akımı - amper),"30,08","24,91",28,"1,21",,,,,,,,,,,,,,,,,,,,,
PostTriggerDataRatio,100,,,,,,,,,Machine.IMotor:REAL (Ana motor akımı - yüzdelik değer),"46,28","38,32","43,08","1,86",,,,,,,,,,,,,,,,,,,,,
StartOnRun,FALSE,,,,,,,,,Kafa.Act.Trq:LREAL (Servo tork),"-3,5",-6,"-4,92","0,42",,,,,,,,,,,,,,,,,,,,,
EnableRealTimeDisplay,FALSE,,,,,,,,,Total_Consumed_Energy:REAL (Toplam tüketilen enerji),19869,19493,"19679,85","110,04",,,,,,,,,,,,,,,,,,,,,
BehaviorWhenMax,Stop,,,,,,,,,Z_Accelerometer:REAL,"49,04","46,62","47,61","0,34",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,X_Accelerometer:REAL,"49,76","47,28","48,2","0,21",,,,,,,,,,,,,,,,,,,,,
TriggerRecordTime,1771290837111931202,,,,,,,,,Y_Accelerometer:REAL,"46,44","43,27","44,51","0,34",,,,,,,,,,,,,,,,,,,,,
StartRawTime,1771290837205932122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index,Date,ClockTime,RawTime,TraceSampID,Voltage_L1_N:REAL,Voltage_L2_N:REAL,Voltage_L3_N:REAL,Current_L1:REAL,Current_L2:REAL,Current_L3:REAL,Total_Active_Power:REAL,Total_Consumed_Energy:REAL,InvOutCurrent_Real:REAL,Machine.IMotor:REAL,KesmeZamani_s:INT,KesilenAlan_m2:REAL,AutoPar.SawDiameter:REAL,AutoPar.SawThickness:REAL,AutoPar.SawTooth:DINT,Malzeme.D_H1:REAL,Malzeme.W1:REAL,Z_Kafa_HMI:LREAL,Kafa.Act.Pos:LREAL,Kafa.Act.Trq:LREAL,Kafa.Act.Vel:LREAL,CurrentF:REAL,CurrentS:REAL,AutoPar.FeedRate1:REAL,AutoPar.FeedRate2:REAL,AutoPar.PeripSpeed:REAL,KafaCurrent_1_abs:LREAL,Z_Accelerometer:REAL,X_Accelerometer:REAL,Y_Accelerometer:REAL,KesmeZamani_min:INT
25,2026-02-17,01:13:57,1771290837205932122,,"228,300003","228,100006","228,5","2,9000001","3,70000005","2,96000004",1472,19397,0,0,6,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","485,0000005","0,8","0,00008514948036","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,7460289","48,5079384","44,7142906",2
