"TraceType";"Single"
"TriggerType";""
"SamplePeriod";"0:0:1:0:0"
"SampleRate";"1"
"ExternalFileStorage";"False"
"MaxSamplesPerFile";"4500"
"MaxDataSetSize";"100"
"TargetDirectory";"C:\OMRON\Data\DataTrace\"
"FilePrefix";""

"SampleTimingType";"interval"
"TaskName";"BaseControl"
"SamplingInterval";"50"
"Triggers";"False:::"
"PostTriggerDataRatio";"100"
"StartOnRun";"False"
"EnableRealTimeDisplay";"False"
"BehaviorWhenMax";"Stop"

"TriggerRecordTime";"1771291295134448729"
"StartRawTime";"1771291295204448456"
"Index";"Date";"ClockTime";"RawTime";"TraceSampID";"Voltage_L1_N:REAL";"Voltage_L2_N:REAL";"Voltage_L3_N:REAL";"Current_L1:REAL";"Current_L2:REAL";"Current_L3:REAL";"Total_Active_Power:REAL";"Total_Consumed_Energy:REAL";"InvOutCurrent_Real:REAL";"Machine.IMotor:REAL";"KesmeZamani_s:INT";"KesilenAlan_m2:REAL";"AutoPar.SawDiameter:REAL";"AutoPar.SawThickness:REAL";"AutoPar.SawTooth:DINT";"Malzeme.D_H1:REAL";"Malzeme.W1:REAL";"Z_Kafa_HMI:LREAL";"Kafa.Act.Pos:LREAL";"Kafa.Act.Trq:LREAL";"Kafa.Act.Vel:LREAL";"CurrentF:REAL";"CurrentS:REAL";"AutoPar.FeedRate1:REAL";"AutoPar.FeedRate2:REAL";"AutoPar.PeripSpeed:REAL";"KafaCurrent_1_abs:LREAL";"Z_Accelerometer:REAL";"X_Accelerometer:REAL";"Y_Accelerometer:REAL";"KesmeZamani_min:INT"
"10";"2026-02-17";"01:21:35.20";"1771291295204448456";"";"227.600006";"227.600006";"228.100006";"12.8400002";"13.7799997";"13.8000002";"8160";"20094";"17.5958195";"27.0769196";"1";"2.27685094";"899.999878";"4.19999981";"60";"292";"115";"-7.9145202636718803";"442.07303404807999";"-2.1000000000000001";"-3.09671674455103";"3.09468102";"125";"0.0700000003";"3.09468102";"125";"0.082000000000000003";"47.7206306";"48.1174583";"44.6698418";"0"
"11";"2026-02-17";"01:21:35.30";"1771291295304449608";"";"227.600006";"227.600006";"228.100006";"12.8400002";"13.7799997";"13.8000002";"8160";"20094";"17.5958195";"27.0769196";"1";"2.27685094";"899.999878";"4.19999981";"60";"292";"115";"-8.22406005859375";"441.76354220935298";"-2.6000000000000001";"-3.0767066138253099";"3.09468102";"125";"0.0700000003";"3.09468102";"125";"0.094299999999999995";"47.1841316";"48.0666695";"43.7492104";"0"
"12";"2026-02-17";"01:21:35.40";"1771291295404450221";"";"227.600006";"227.600006";"228.100006";"12.8400002";"13.7799997";"13.8000002";"8160";"20094";"17.6538906";"27.1538506";"2";"2.27685094";"899.999878";"4.19999981";"60";"292";"115";"-8.5332946777343803";"441.45437717437699";"-3.1000000000000001";"-3.06972435544139";"3.09468102";"125";"0.0700000003";"3.09468102";"125";"0.12709999999999999";"47.7523804";"48.30159";"45.4888916";"0"
"13";"2026-02-17";"01:21:35.50";"1771291295504451523";"";"227.600006";"227.600006";"228.100006";"12.8400002";"13.7799997";"13.8000002";"8160";"20094";"17.5958195";"27.0769196";"2";"2.27685094";"899.999878";"4.19999981";"60";"292";"115";"-8.8429260253906303";"441.14464521408098";"-2.5";"-3.09790883744654";"3.09468102";"125";"0.0700000003";"3.09468102";"125";"0.1148";"47.0666695";"48.5650787";"44.8920593";"0"
"14";"2026-02-17";"01:21:35.60";"1771291295604452121";"";"227.600006";"227.600006";"228.100006";"12.8400002";"13.7799997";"13.8000002";"8160";"20094";"17.5377502";"26.9846191";"2";"2.27685094";"899.999878";"4.19999981";"60";"292";"115";"-9.15240478515625";"440.83513259887701";"-2";"-3.1035287039742299";"3.09468102";"125";"0.0700000003";"3.09468102";"125";"0.086099999999999996";"47.4761887";"48.1206398";"44.6317482";"0"
"15";"2026-02-17";"01:21:35.70";"1771291295704453105";"";"227.600006";"227.600006";"228.100006";"12.8400002";"13.7799997";"13.8000002";"8160";"20094";"17.5958195";"27.0769196";"2";"2.27685094";"899.999878";"4.19999981";"60";"292";"115";"-9.4617919921875";"440.52569457462903";"-2";"-3.10667923517371";"3.09468102";"125";"0.0700000003";"3.09468102";"125";"0.077899999999999997";"47.7999992";"47.5841293";"44.7174606";"0"
"16";"2026-02-17";"01:21:35.80";"1771291295804454557";"";"227.199997";"227.100006";"227.5";"21.8799992";"22.3799992";"22.0400009";"10880";"20094";"17.5377502";"26.9846191";"2";"2.27685094";"899.999878";"4.19999981";"60";"292";"115";"-9.77105712890625";"440.21654060908702";"-2.8999999999999999";"-3.0826670783028498";"3.09468102";"125";"0.0700000003";"3.09468102";"125";"0.1148";"47.5523796";"48.2444496";"44.4127007";"0"
"17";"2026-02-17";"01:21:35.90";"1771291295904454825";"";"227.199997";"227.100006";"227.5";"21.8799992";"22.3799992";"22.0400009";"10880";"20094";"17.5377502";"26.9846191";"2";"2.27685094";"899.999878";"4.19999981";"60";"292";"115";"-10.0809326171875";"439.90670527730703";"-2.7999999999999998";"-3.0737263815865399";"3.09468102";"125";"0.0700000003";"3.09468102";"125";"0.1148";"47.7111092";"48.1142807";"44.4222183";"0"
"18";"2026-02-17";"01:21:36.00";"1771291296004456165";"";"227.199997";"227.100006";"227.5";"21.8799992";"22.3799992";"22.0400009";"10880";"20094";"17.5377502";"26.9846191";"2";"2.27685094";"899.999878";"4.19999981";"60";"292";"115";"-10.3904113769531";"439.597187723432";"-2.2000000000000002";"-3.0913523265212501";"3.09468102";"125";"0.0700000003";"3.09468102";"125";"0.098400000000000001";"47.6063499";"48.079361";"44.3745995";"0"
"19";"2026-02-17";"01:21:36.10";"1771291296104457335";"";"227.199997";"227.100006";"227.5";"21.8799992";"22.3799992";"22.0400009";"10880";"20094";"17.5377502";"26.9846191";"2";"2.27685094";"899.999878";"4.19999981";"60";"292";"115";"-10.6996765136719";"439.2877805233";"-1.7";"-3.1267745154366402";"3.09468102";"125";"0.0700000003";"3.09468102";"125";"0.073800000000000004";"47.5047607";"48.0222206";"44.3587303";"0"
"20";"2026-02-17";"01:21:36.20";"1771291296204457514";"";"227.199997";"227.100006";"227.5";"21.8799992";"22.3799992";"22.0400009";"10880";"20094";"17.5958195";"27.0769196";"2";"2.27685094";"899.999878";"4.19999981";"60";"292";"115";"-11.0091552734375";"438.97835918835199";"-2.2999999999999998";"-3.09910093034205";"3.09468102";"125";"0.0700000003";"3.09468102";"125";"0.086099999999999996";"47.4888916";"48.2317505";"44.526989";"0"
"21";"2026-02-17";"01:21:36.30";"1771291296304458870";"";"227.199997";"227.100006";"227.5";"21.8799992";"22.3799992";"22.0400009";"10880";"20094";"17.5958195";"27.0769196";"2";"2.27685094";"899.999878";"4.19999981";"60";"292";"115";"-11.318603515625";"438.66906898362299";"-3.1000000000000001";"-3.0622312000616598";"3.09468102";"125";"0.0700000003";"3.09468102";"125";"0.1148";"47.9523811";"48.3492088";"44.6920586";"0"
"22";"2026-02-17";"01:21:36.40";"1771291296404459949";"";"227.199997";"227.100006";"227.5";"21.8799992";"22.3799992";"22.0400009";"10880";"20094";"17.5377502";"26.9846191";"3";"2.27685094";"899.999878";"4.19999981";"60";"292";"115";"-11.6282348632813";"438.35935728890598";"-2.6000000000000001";"-3.08998993463661";"3.09468102";"125";"0.0700000003";"3.09468102";"125";"0.1066";"47.7174606";"48.2476196";"44.5587311";"0"
"23";"2026-02-17";"01:21:36.50";"1771291296504460860";"";"227.199997";"227.100006";"227.5";"21.8799992";"22.3799992";"22.0400009";"10880";"20094";"17.5377502";"26.9846191";"3";"2.27685094";"899.999878";"4.19999981";"60";"292";"115";"-11.9375610351563";"438.04996149880498";"-2";"-3.1106812613188599";"3.09468102";"125";"0.0700000003";"3.09468102";"125";"0.090200000000000002";"47.4412689";"48.1301613";"44.3682594";"0"
