"TraceType";"Single"
"TriggerType";""
"SamplePeriod";"0:0:1:0:0"
"SampleRate";"1"
"ExternalFileStorage";"False"
"MaxSamplesPerFile";"4500"
"MaxDataSetSize";"100"
"TargetDirectory";"C:\OMRON\Data\DataTrace\"
"FilePrefix";""

"SampleTimingType";"interval"
"TaskName";"BaseControl"
"SamplingInterval";"50"
"Triggers";"False:::"
"PostTriggerDataRatio";"100"
"StartOnRun";"False"
"EnableRealTimeDisplay";"False"
"BehaviorWhenMax";"Stop"

"TriggerRecordTime";"1771300263705489338"
"StartRawTime";"1771300263747490881"
"Index";"Date";"ClockTime";"RawTime";"TraceSampID";"Voltage_L1_N:REAL";"Voltage_L2_N:REAL";"Voltage_L3_N:REAL";"Current_L1:REAL";"Current_L2:REAL";"Current_L3:REAL";"Total_Active_Power:REAL";"Total_Consumed_Energy:REAL";"InvOutCurrent_Real:REAL";"Machine.IMotor:REAL";"KesmeZamani_s:INT";"KesilenAlan_m2:REAL";"AutoPar.SawDiameter:REAL";"AutoPar.SawThickness:REAL";"AutoPar.SawTooth:DINT";"Malzeme.D_H1:REAL";"Malzeme.W1:REAL";"Z_Kafa_HMI:LREAL";"Kafa.Act.Pos:LREAL";"Kafa.Act.Trq:LREAL";"Kafa.Act.Vel:LREAL";"CurrentF:REAL";"CurrentS:REAL";"AutoPar.FeedRate1:REAL";"AutoPar.FeedRate2:REAL";"AutoPar.PeripSpeed:REAL";"KafaCurrent_1_abs:LREAL";"Z_Accelerometer:REAL";"X_Accelerometer:REAL";"Y_Accelerometer:REAL";"KesmeZamani_min:INT"
"12";"2026-02-17";"03:51:03.74";"1771300263747490881";"";"228.800003";"228.300003";"228.600006";"2.94000006";"3.53999996";"2.77999997";"1368";"31526";"0";"0";"57";"3.34830999";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000017029902";"0.80000000000000004";"-8.5149480355539695E-05";"2.52879596";"130";"0.0549999997";"2.52879596";"130";"0.032800000000000003";"47.6222191";"48.6063499";"44.6666718";"1"
"13";"2026-02-17";"03:51:03.84";"1771300263847491609";"";"228.800003";"228.300003";"228.600006";"2.94000006";"3.53999996";"2.77999997";"1368";"31526";"0";"0";"57";"3.34830999";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485";"0.80000000000000004";"-8.5149508777249098E-05";"2.52879596";"130";"0.0549999997";"2.52879596";"130";"0.032800000000000003";"47.6158791";"48.5841293";"44.6698418";"1"
"14";"2026-02-17";"03:51:03.94";"1771300263947492069";"";"228.800003";"228.300003";"228.600006";"2.94000006";"3.53999996";"2.77999997";"1368";"31526";"0";"0";"57";"3.34830999";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999965940202";"0.80000000000000004";"8.5149480355539695E-05";"2.52879596";"130";"0.0549999997";"2.52879596";"130";"0.032800000000000003";"47.5746002";"48.5555611";"44.6920586";"1"
"15";"2026-02-17";"03:51:04.04";"1771300264047493198";"";"228.800003";"228.300003";"228.600006";"2.94000006";"3.53999996";"2.77999997";"1368";"31526";"0";"0";"57";"3.34830999";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485";"0.80000000000000004";"-0.00034059797826557802";"2.52879596";"130";"0.0549999997";"2.52879596";"130";"0.032800000000000003";"47.2634888";"48.5587311";"44.6571388";"1"
"16";"2026-02-17";"03:51:04.14";"1771300264147494084";"";"228.800003";"228.300003";"228.600006";"2.94000006";"3.53999996";"2.77999997";"1368";"31526";"0";"0";"57";"3.34830999";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999914850503";"0.80000000000000004";"-0.00059604644775390603";"2.52879596";"130";"0.0549999997";"2.52879596";"130";"0.032800000000000003";"47.7396889";"48.7396889";"44.7936516";"1"
"17";"2026-02-17";"03:51:04.24";"1771300264247495741";"";"228.800003";"228.300003";"228.600006";"2.94000006";"3.53999996";"2.77999997";"1368";"31526";"0";"0";"57";"3.34830999";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999965940202";"0.80000000000000004";"-8.5149508777249098E-05";"2.52879596";"130";"0.0549999997";"2.52879596";"130";"0.032800000000000003";"47.5936508";"48.6825409";"44.6476212";"1"
"18";"2026-02-17";"03:51:04.34";"1771300264347495817";"";"228.800003";"228.300003";"228.600006";"2.94000006";"3.53999996";"2.77999997";"1368";"31526";"0";"0";"57";"3.34830999";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999982970098";"0.80000000000000004";"-0.000510896938976657";"2.52879596";"130";"0.0549999997";"2.52879596";"130";"0.032800000000000003";"47.526989";"48.6698418";"44.7079391";"1"
"19";"2026-02-17";"03:51:04.44";"1771300264447496221";"";"228.800003";"228.300003";"228.600006";"2.94000006";"3.53999996";"2.77999997";"1368";"31526";"0";"0";"57";"3.34830999";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485";"0.80000000000000004";"8.5149480355539695E-05";"2.52879596";"130";"0.0549999997";"2.52879596";"130";"0.032800000000000003";"47.6603203";"48.6412697";"44.6857109";"1"
"20";"2026-02-17";"03:51:04.54";"1771300264547497739";"";"228.800003";"228.300003";"228.600006";"2.94000006";"3.53999996";"2.77999997";"1368";"31526";"0";"0";"57";"3.34830999";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000017029902";"0.80000000000000004";"0.00017029898913278901";"2.52879596";"130";"0.0549999997";"2.52879596";"130";"0.032800000000000003";"47.5079384";"48.5142899";"44.4222183";"1"
"21";"2026-02-17";"03:51:04.64";"1771300264647498385";"";"228.800003";"228.300003";"228.600006";"2.94000006";"3.53999996";"2.77999997";"1368";"31526";"0";"0";"57";"3.34830999";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000068119601";"0.80000000000000004";"0.00017029898913278901";"2.52879596";"130";"0.0549999997";"2.52879596";"130";"0.032800000000000003";"47.4984093";"48.5206299";"44.4952393";"1"
