"TraceType";"Single"
"TriggerType";""
"SamplePeriod";"0:0:1:0:0"
"SampleRate";"1"
"ExternalFileStorage";"False"
"MaxSamplesPerFile";"4500"
"MaxDataSetSize";"100"
"TargetDirectory";"C:\OMRON\Data\DataTrace\"
"FilePrefix";""

"SampleTimingType";"interval"
"TaskName";"BaseControl"
"SamplingInterval";"50"
"Triggers";"False:::"
"PostTriggerDataRatio";"100"
"StartOnRun";"False"
"EnableRealTimeDisplay";"False"
"BehaviorWhenMax";"Stop"

"TriggerRecordTime";"1771301619298136993"
"StartRawTime";"1771301619370134614"
"Index";"Date";"ClockTime";"RawTime";"TraceSampID";"Voltage_L1_N:REAL";"Voltage_L2_N:REAL";"Voltage_L3_N:REAL";"Current_L1:REAL";"Current_L2:REAL";"Current_L3:REAL";"Total_Active_Power:REAL";"Total_Consumed_Energy:REAL";"InvOutCurrent_Real:REAL";"Machine.IMotor:REAL";"KesmeZamani_s:INT";"KesilenAlan_m2:REAL";"AutoPar.SawDiameter:REAL";"AutoPar.SawThickness:REAL";"AutoPar.SawTooth:DINT";"Malzeme.D_H1:REAL";"Malzeme.W1:REAL";"Z_Kafa_HMI:LREAL";"Kafa.Act.Pos:LREAL";"Kafa.Act.Trq:LREAL";"Kafa.Act.Vel:LREAL";"CurrentF:REAL";"CurrentS:REAL";"AutoPar.FeedRate1:REAL";"AutoPar.FeedRate2:REAL";"AutoPar.PeripSpeed:REAL";"KafaCurrent_1_abs:LREAL";"Z_Accelerometer:REAL";"X_Accelerometer:REAL";"Y_Accelerometer:REAL";"KesmeZamani_min:INT"
"11";"2026-02-17";"04:13:39.37";"1771301619370134614";"";"231.199997";"230.399994";"231.100006";"2.98000002";"3.6400001";"2.88000011";"1408";"32274";"0";"0";"12";"3.41527605";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999965940202";"0.80000000000000004";"-0.00034059797826557802";"2.75868702";"130";"0.0599999987";"2.75868702";"130";"0.032800000000000003";"47.6444397";"48.526989";"44.6285706";"2"
"12";"2026-02-17";"04:13:39.47";"1771301619470134932";"";"231.199997";"230.399994";"231.100006";"2.98000002";"3.6400001";"2.88000011";"1408";"32275";"0";"0";"12";"3.41527605";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485";"0.80000000000000004";"-0.00017029898913278901";"2.75868702";"130";"0.0599999987";"2.75868702";"130";"0.032800000000000003";"47.5841293";"48.6380997";"44.6317482";"2"
"13";"2026-02-17";"04:13:39.57";"1771301619570138245";"";"231.199997";"230.399994";"231.100006";"2.98000002";"3.6400001";"2.88000011";"1408";"32275";"0";"0";"12";"3.41527605";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.000000510897";"0.80000000000000004";"0.00017029896071107901";"2.75868702";"130";"0.0599999987";"2.75868702";"130";"0.032800000000000003";"47.6317482";"48.469841";"44.5682602";"2"
"14";"2026-02-17";"04:13:39.67";"1771301619670136984";"";"231.199997";"230.399994";"231.100006";"2.98000002";"3.6400001";"2.88000011";"1408";"32275";"0";"0";"12";"3.41527605";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000034059798";"0.80000000000000004";"0.00025544846948832899";"2.75868702";"130";"0.0599999987";"2.75868702";"130";"0.032800000000000003";"47.5682602";"48.3555603";"44.5174599";"2"
"15";"2026-02-17";"04:13:39.77";"1771301619770138156";"";"231.199997";"230.399994";"231.100006";"2.98000002";"3.6400001";"2.88000011";"1408";"32275";"0";"0";"12";"3.41527605";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999965940202";"0.80000000000000004";"-0.00034059797826557802";"2.75868702";"130";"0.0599999987";"2.75868702";"130";"0.032800000000000003";"47.6285706";"48.3968315";"44.5587311";"2"
"16";"2026-02-17";"04:13:39.87";"1771301619870139953";"";"231.199997";"230.399994";"231.100006";"2.98000002";"3.6400001";"2.88000011";"1408";"32275";"0";"0";"12";"3.41527605";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999982970098";"0.80000000000000004";"-0.00017029898913278901";"2.75868702";"130";"0.0599999987";"2.75868702";"130";"0.032800000000000003";"47.6476212";"48.4984093";"44.60952";"2"
"17";"2026-02-17";"04:13:39.97";"1771301619970140429";"";"231.199997";"230.399994";"231.100006";"2.98000002";"3.6400001";"2.88000011";"1408";"32275";"0";"0";"12";"3.41527605";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999965940202";"0.80000000000000004";"0.00017029898913278901";"2.75868702";"130";"0.0599999987";"2.75868702";"130";"0.032800000000000003";"47.5809517";"48.4380989";"44.5904808";"2"
"18";"2026-02-17";"04:13:40.07";"1771301620070144945";"";"231.199997";"230.399994";"231.100006";"2.98000002";"3.6400001";"2.88000011";"1408";"32275";"0";"0";"12";"3.41527605";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999965940202";"0.80000000000000004";"8.5149480355539695E-05";"2.75868702";"130";"0.0599999987";"2.75868702";"130";"0.032800000000000003";"47.7523804";"48.5079384";"44.7206306";"2"
"19";"2026-02-17";"04:13:40.17";"1771301620170142818";"";"231.199997";"230.399994";"231.100006";"2.98000002";"3.6400001";"2.88000011";"1408";"32275";"0";"0";"12";"3.41527605";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000068119601";"0.80000000000000004";"0.00042574745862111702";"2.75868702";"130";"0.0599999987";"2.75868702";"130";"0.032800000000000003";"47.7111092";"48.6317482";"44.6380997";"2"
"20";"2026-02-17";"04:13:40.27";"1771301620270143062";"";"231.199997";"230.399994";"231.100006";"2.98000002";"3.6400001";"2.88000011";"1408";"32275";"0";"0";"12";"3.41527605";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999931880399";"0.80000000000000004";"-0.00025544849791003799";"2.75868702";"130";"0.0599999987";"2.75868702";"130";"0.032800000000000003";"47.6698418";"48.4857101";"44.6634903";"2"
