"TraceType";"Single"
"TriggerType";""
"SamplePeriod";"0:0:1:0:0"
"SampleRate";"1"
"ExternalFileStorage";"False"
"MaxSamplesPerFile";"4500"
"MaxDataSetSize";"100"
"TargetDirectory";"C:\OMRON\Data\DataTrace\"
"FilePrefix";""

"SampleTimingType";"interval"
"TaskName";"BaseControl"
"SamplingInterval";"50"
"Triggers";"False:::"
"PostTriggerDataRatio";"100"
"StartOnRun";"False"
"EnableRealTimeDisplay";"False"
"BehaviorWhenMax";"Stop"

"TriggerRecordTime";"1771301958481811843"
"StartRawTime";"1771301958495811907"
"Index";"Date";"ClockTime";"RawTime";"TraceSampID";"Voltage_L1_N:REAL";"Voltage_L2_N:REAL";"Voltage_L3_N:REAL";"Current_L1:REAL";"Current_L2:REAL";"Current_L3:REAL";"Total_Active_Power:REAL";"Total_Consumed_Energy:REAL";"InvOutCurrent_Real:REAL";"Machine.IMotor:REAL";"KesmeZamani_s:INT";"KesilenAlan_m2:REAL";"AutoPar.SawDiameter:REAL";"AutoPar.SawThickness:REAL";"AutoPar.SawTooth:DINT";"Malzeme.D_H1:REAL";"Malzeme.W1:REAL";"Z_Kafa_HMI:LREAL";"Kafa.Act.Pos:LREAL";"Kafa.Act.Trq:LREAL";"Kafa.Act.Vel:LREAL";"CurrentF:REAL";"CurrentS:REAL";"AutoPar.FeedRate1:REAL";"AutoPar.FeedRate2:REAL";"AutoPar.PeripSpeed:REAL";"KafaCurrent_1_abs:LREAL";"Z_Accelerometer:REAL";"X_Accelerometer:REAL";"Y_Accelerometer:REAL";"KesmeZamani_min:INT"
"20";"2026-02-17";"04:19:18.49";"1771301958495811907";"";"231";"230.300003";"230.5";"2.98000002";"3.61999989";"2.8599999";"1384";"32909";"0";"0";"1";"3.48224211";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999982970098";"0.80000000000000004";"-0.00034059794984386799";"2.98857689";"130";"0.0649999976";"2.98857689";"130";"0.032800000000000003";"47.5619011";"48.4634895";"44.5523796";"2"
"21";"2026-02-17";"04:19:18.59";"1771301958595812877";"";"231";"230.300003";"230.5";"2.98000002";"3.61999989";"2.8599999";"1384";"32909";"0";"0";"1";"3.48224211";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999982970098";"0.80000000000000004";"8.5149508777249098E-05";"2.98857689";"130";"0.0649999976";"2.98857689";"130";"0.032800000000000003";"47.5841293";"48.4761887";"44.6444397";"2"
"22";"2026-02-17";"04:19:18.69";"1771301958695813723";"";"231";"230.300003";"230.5";"2.98000002";"3.61999989";"2.8599999";"1384";"32909";"0";"0";"1";"3.48224211";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999982970098";"0.80000000000000004";"-8.5149480355539695E-05";"2.98857689";"130";"0.0649999976";"2.98857689";"130";"0.032800000000000003";"47.6603203";"48.4857101";"44.6666718";"2"
"23";"2026-02-17";"04:19:18.79";"1771301958795814270";"";"231";"230.300003";"230.5";"2.98000002";"3.61999989";"2.8599999";"1384";"32909";"0";"0";"1";"3.48224211";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485";"0.80000000000000004";"-0.00034059797826557802";"2.98857689";"130";"0.0649999976";"2.98857689";"130";"0.032800000000000003";"47.774601";"48.5206299";"44.7365112";"2"
"24";"2026-02-17";"04:19:18.89";"1771301958895816023";"";"231";"230.300003";"230.5";"2.98000002";"3.61999989";"2.8599999";"1384";"32909";"0";"0";"1";"3.48224211";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999897820601";"0.80000000000000004";"-0.00025544846948832899";"2.98857689";"130";"0.0649999976";"2.98857689";"130";"0.032800000000000003";"47.6127014";"48.5111084";"44.6412697";"2"
"25";"2026-02-17";"04:19:18.99";"1771301958995817147";"";"231";"230.300003";"230.5";"2.98000002";"3.61999989";"2.8599999";"1384";"32909";"0";"0";"1";"3.48224211";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000136239203";"0.80000000000000004";"0.00051089696739836698";"2.98857689";"130";"0.0649999976";"2.98857689";"130";"0.032800000000000003";"47.8507996";"48.469841";"44.834919";"2"
"26";"2026-02-17";"04:19:19.09";"1771301959095818066";"";"230.899994";"230.399994";"230.699997";"2.98000002";"3.6400001";"2.88000011";"1384";"32909";"0";"0";"1";"3.48224211";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.000000510897";"0.80000000000000004";"0";"2.98857689";"130";"0.0649999976";"2.98857689";"130";"0.032800000000000003";"47.69524";"48.5746002";"44.7079391";"2"
"27";"2026-02-17";"04:19:19.19";"1771301959195817933";"";"230.899994";"230.399994";"230.699997";"2.98000002";"3.6400001";"2.88000011";"1384";"32909";"0";"0";"1";"3.48224211";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999931880399";"0.80000000000000004";"-0.00059604644775390603";"2.98857689";"130";"0.0649999976";"2.98857689";"130";"0.032800000000000003";"47.6698418";"48.6444397";"44.7428589";"2"
"28";"2026-02-17";"04:19:19.29";"1771301959295819191";"";"230.899994";"230.399994";"230.699997";"2.98000002";"3.6400001";"2.88000011";"1384";"32909";"0";"0";"1";"3.48224211";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.000000510897";"0.80000000000000004";"0.000510896938976657";"2.98857689";"130";"0.0649999976";"2.98857689";"130";"0.032800000000000003";"47.6317482";"48.4920692";"44.6158791";"2"
"29";"2026-02-17";"04:19:19.39";"1771301959395821266";"";"230.899994";"230.399994";"230.699997";"2.98000002";"3.6400001";"2.88000011";"1384";"32909";"0";"0";"1";"3.48224211";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000017029902";"0.80000000000000004";"0.00034059797826557802";"2.98857689";"130";"0.0649999976";"2.98857689";"130";"0.032800000000000003";"47.6857109";"48.4412689";"44.5936508";"2"
