"TraceType";"Single"
"TriggerType";""
"SamplePeriod";"0:0:1:0:0"
"SampleRate";"1"
"ExternalFileStorage";"False"
"MaxSamplesPerFile";"4500"
"MaxDataSetSize";"100"
"TargetDirectory";"C:\OMRON\Data\DataTrace\"
"FilePrefix";""

"SampleTimingType";"interval"
"TaskName";"BaseControl"
"SamplingInterval";"50"
"Triggers";"False:::"
"PostTriggerDataRatio";"100"
"StartOnRun";"False"
"EnableRealTimeDisplay";"False"
"BehaviorWhenMax";"Stop"

"TriggerRecordTime";"1771302373182421717"
"StartRawTime";"1771302373240418934"
"Index";"Date";"ClockTime";"RawTime";"TraceSampID";"Voltage_L1_N:REAL";"Voltage_L2_N:REAL";"Voltage_L3_N:REAL";"Current_L1:REAL";"Current_L2:REAL";"Current_L3:REAL";"Total_Active_Power:REAL";"Total_Consumed_Energy:REAL";"InvOutCurrent_Real:REAL";"Machine.IMotor:REAL";"KesmeZamani_s:INT";"KesilenAlan_m2:REAL";"AutoPar.SawDiameter:REAL";"AutoPar.SawThickness:REAL";"AutoPar.SawTooth:DINT";"Malzeme.D_H1:REAL";"Malzeme.W1:REAL";"Z_Kafa_HMI:LREAL";"Kafa.Act.Pos:LREAL";"Kafa.Act.Trq:LREAL";"Kafa.Act.Vel:LREAL";"CurrentF:REAL";"CurrentS:REAL";"AutoPar.FeedRate1:REAL";"AutoPar.FeedRate2:REAL";"AutoPar.PeripSpeed:REAL";"KafaCurrent_1_abs:LREAL";"Z_Accelerometer:REAL";"X_Accelerometer:REAL";"Y_Accelerometer:REAL";"KesmeZamani_min:INT"
"41";"2026-02-17";"04:26:13.24";"1771302373240418934";"";"229.5";"229.100006";"229.399994";"2.8599999";"3.61999989";"2.92000008";"1392";"33552";"0";"0";"51";"3.54920793";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999982970098";"0.80000000000000004";"0";"3.21846795";"130";"0.0700000003";"3.21846795";"130";"0.032800000000000003";"47.7841301";"48.533329";"44.6380997";"1"
"42";"2026-02-17";"04:26:13.34";"1771302373340423878";"";"229.5";"229.100006";"229.399994";"2.8599999";"3.61999989";"2.92000008";"1392";"33552";"0";"0";"51";"3.54920793";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000034059798";"0.80000000000000004";"-0.00025544846948832899";"3.21846795";"130";"0.0700000003";"3.21846795";"130";"0.032800000000000003";"47.7047615";"48.3682594";"44.5777817";"1"
"43";"2026-02-17";"04:26:13.44";"1771302373440424947";"";"229.5";"229.100006";"229.399994";"2.8599999";"3.61999989";"2.92000008";"1392";"33552";"0";"0";"51";"3.54920793";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000017029902";"0.80000000000000004";"0.00025544849791003799";"3.21846795";"130";"0.0700000003";"3.21846795";"130";"0.032800000000000003";"47.526989";"48.5111084";"44.4190483";"1"
"44";"2026-02-17";"04:26:13.54";"1771302373540425495";"";"229.5";"229.100006";"229.399994";"2.8599999";"3.61999989";"2.92000008";"1392";"33552";"0";"0";"51";"3.54920793";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999931880399";"0.80000000000000004";"-8.5149508777249098E-05";"3.21846795";"130";"0.0700000003";"3.21846795";"130";"0.032800000000000003";"47.9015884";"48.5238113";"44.5682602";"1"
"45";"2026-02-17";"04:26:13.64";"1771302373640426108";"";"229.5";"229.100006";"229.399994";"2.8599999";"3.61999989";"2.92000008";"1392";"33552";"0";"0";"51";"3.54920793";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000034059798";"0.80000000000000004";"0.00042574745862111702";"3.21846795";"130";"0.0700000003";"3.21846795";"130";"0.032800000000000003";"47.7142906";"48.4507904";"44.60952";"1"
"46";"2026-02-17";"04:26:13.74";"1771302373740427410";"";"229.5";"229.100006";"229.399994";"2.8599999";"3.61999989";"2.92000008";"1392";"33552";"0";"0";"51";"3.54920793";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485";"0.80000000000000004";"-8.5149508777249098E-05";"3.21846795";"130";"0.0700000003";"3.21846795";"130";"0.032800000000000003";"47.6698418";"48.5936508";"44.6380997";"1"
"47";"2026-02-17";"04:26:13.84";"1771302373840428664";"";"229.5";"229.100006";"229.399994";"2.8599999";"3.61999989";"2.92000008";"1392";"33552";"0";"0";"51";"3.54920793";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.999999489103";"0.80000000000000004";"8.5149508777249098E-05";"3.21846795";"130";"0.0700000003";"3.21846795";"130";"0.032800000000000003";"47.7238083";"48.4158707";"44.6158791";"1"
"48";"2026-02-17";"04:26:13.94";"1771302373940430228";"";"229.600006";"229.199997";"229.5";"2.8599999";"3.61999989";"2.92000008";"1384";"33552";"0";"0";"51";"3.54920793";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999982970098";"0.80000000000000004";"-0.00034059794984386799";"3.21846795";"130";"0.0700000003";"3.21846795";"130";"0.032800000000000003";"47.6031799";"48.4349213";"44.5968208";"1"
"49";"2026-02-17";"04:26:14.04";"1771302374040426553";"";"229.600006";"229.199997";"229.5";"2.8599999";"3.61999989";"2.92000008";"1384";"33552";"0";"0";"51";"3.54920793";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485.00000017029902";"0.80000000000000004";"8.5149508777249098E-05";"3.21846795";"130";"0.0700000003";"3.21846795";"130";"0.032800000000000003";"47.7587318";"48.526989";"44.6222191";"1"
"50";"2026-02-17";"04:26:14.14";"1771302374140431106";"";"229.600006";"229.199997";"229.5";"2.8599999";"3.61999989";"2.92000008";"1384";"33552";"0";"0";"51";"3.54920793";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485";"0.80000000000000004";"-0.00025544846948832899";"3.21846795";"130";"0.0700000003";"3.21846795";"130";"0.032800000000000003";"47.7777786";"48.4984093";"44.6317482";"1"
"51";"2026-02-17";"04:26:14.24";"1771302374240432254";"";"229.600006";"229.199997";"229.5";"2.8599999";"3.61999989";"2.92000008";"1384";"33552";"0";"0";"51";"3.54920793";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485";"0.80000000000000004";"0";"3.21846795";"130";"0.0700000003";"3.21846795";"130";"0.032800000000000003";"47.5841293";"48.60952";"44.5872993";"1"
"52";"2026-02-17";"04:26:14.34";"1771302374340433401";"";"229.600006";"229.199997";"229.5";"2.8599999";"3.61999989";"2.92000008";"1384";"33552";"0";"0";"51";"3.54920793";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"484.99999931880399";"0.80000000000000004";"-0.00025544849791003799";"3.21846795";"130";"0.0700000003";"3.21846795";"130";"0.032800000000000003";"48.4888916";"48.6127014";"44.3365097";"1"
"53";"2026-02-17";"04:26:14.44";"1771302374440433985";"";"229.600006";"229.199997";"229.5";"2.8599999";"3.61999989";"2.92000008";"1384";"33552";"0";"0";"51";"3.54920793";"899.999878";"4.19999981";"60";"292";"115";"35.0000610351563";"485";"0.80000000000000004";"0";"3.21846795";"130";"0.0700000003";"3.21846795";"130";"0.032800000000000003";"47.7428589";"48.6698418";"44.6793709";"1"
