Index,Date,ClockTime,RawTime,TraceSampID,Voltage_L1_N:REAL,Voltage_L2_N:REAL,Voltage_L3_N:REAL,Current_L1:REAL,Current_L2:REAL,Current_L3:REAL,Total_Active_Power:REAL,Total_Consumed_Energy:REAL,InvOutCurrent_Real:REAL,Machine.IMotor:REAL,KesmeZamani_s:INT,KesilenAlan_m2:REAL,AutoPar.SawDiameter:REAL,AutoPar.SawThickness:REAL,AutoPar.SawTooth:DINT,Malzeme.D_H1:REAL,Malzeme.W1:REAL,Z_Kafa_HMI:LREAL,Kafa.Act.Pos:LREAL,Kafa.Act.Trq:LREAL,Kafa.Act.Vel:LREAL,CurrentF:REAL,CurrentS:REAL,AutoPar.FeedRate1:REAL,AutoPar.FeedRate2:REAL,AutoPar.PeripSpeed:REAL,KafaCurrent_1_abs:LREAL,Z_Accelerometer:REAL,X_Accelerometer:REAL,Y_Accelerometer:REAL,KesmeZamani_min:INT
113,2026-02-17,04:26:20.44,1771302380440490165,,228.600006,228.100006,228.699997,16.4799995,17.8999996,17.3199997,10240,33559,16.4343796,25.2769203,1,3.54920793,899.999878,4.19999981,60,292,115,-6.18753051757813,443.799065692084,-1.6,-3.33300658635949,3.21846795,130,0.0700000003,3.21846795,130,0.0656,47.3745995,48.0857201,44.3809509,0
114,2026-02-17,04:26:20.54,1771302380540490517,,228.600006,228.100006,228.699997,16.4799995,17.8999996,17.3199997,10240,33559,16.4924507,25.3692303,1,3.54920793,899.999878,4.19999981,60,292,115,-6.51129150390625,443.475842475891,-2.6,-3.19966248105175,3.21846795,130,0.0700000003,3.21846795,130,0.1066,47.6031799,48.2507896,44.5142899,0
115,2026-02-17,04:26:20.64,1771302380640488048,,228.600006,228.100006,228.699997,16.4799995,17.8999996,17.3199997,10240,33559,16.4924507,25.3692303,1,3.54920793,899.999878,4.19999981,60,292,115,-6.83319091796875,443.153877088002,-2.3,-3.21567058563232,3.21846795,130,0.0700000003,3.21846795,130,0.0942999999999999,47.69524,48.2063484,44.165081,0
116,2026-02-17,04:26:20.74,1771302380740496561,,228.600006,228.100006,228.699997,16.4799995,17.8999996,17.3199997,10240,33559,16.4343796,25.2769203,1,3.54920793,899.999878,4.19999981,60,292,115,-7.15509033203125,442.83192140715494,-2.5,-3.23108264376515,3.21846795,130,0.0700000003,3.21846795,130,0.0984,47.4222183,48.2349205,44.5238113,0
117,2026-02-17,04:26:20.84,1771302380840495327,,228.600006,228.100006,228.699997,16.4799995,17.8999996,17.3199997,10240,33559,16.5505199,25.4615402,1,3.54920793,899.999878,4.19999981,60,292,115,-7.477081298828129,442.509939159666,-1.9,-3.2382352011382,3.21846795,130,0.0700000003,3.21846795,130,0.0860999999999999,47.4317513,48.2730217,44.5619011,0
118,2026-02-17,04:26:20.94,1771302380940494787,,228.600006,228.100006,228.699997,16.4799995,17.8999996,17.3199997,10240,33565,16.4924507,25.3692303,1,3.54920793,899.999878,4.19999981,60,292,115,-7.79876708984375,442.188301597323,-2.3,-3.21728842601487,3.21846795,130,0.0700000003,3.21846795,130,0.0902,47.3936501,48.2158699,44.4571419,0
119,2026-02-17,04:26:21.04,1771302381040491779,,228.600006,228.100006,228.699997,16.4799995,17.8999996,17.3199997,10240,33565,16.4924507,25.3692303,1,3.54920793,899.999878,4.19999981,60,292,115,-8.12063598632813,441.866454396929,-2.4,-3.21507453918457,3.21846795,130,0.0700000003,3.21846795,130,0.1066,47.5428581,48.6476212,44.6476212,0
120,2026-02-17,04:26:21.14,1771302381140496738,,228.600006,228.100006,228.699997,16.4799995,17.8999996,17.3199997,10240,33565,16.4343796,25.2769203,1,3.54920793,899.999878,4.19999981,60,292,115,-8.44244384765625,441.544598681586,-2.4,-3.2212904521316,3.21846795,130,0.0700000003,3.21846795,130,0.0984,47.5777817,48.2380905,44.5650787,0
121,2026-02-17,04:26:21.24,1771302381240497720,,228.600006,228.100006,228.699997,16.4799995,17.8999996,17.3199997,10240,33565,16.3763103,25.2000008,1,3.54920793,899.999878,4.19999981,60,292,115,-8.76443481445313,441.22266718319503,-2.8,-3.2068150383963694,3.21846795,130,0.0700000003,3.21846795,130,0.1107,47.466671,48.0603218,44.7936516,0
122,2026-02-17,04:26:21.34,1771302381340499958,,228.600006,228.100006,228.699997,16.4799995,17.8999996,17.3199997,10240,33565,16.4343796,25.2769203,2,3.54920793,899.999878,4.19999981,60,292,115,-9.08633422851563,440.900699922017,-1.9,-3.22886875696327,3.21846795,130,0.0700000003,3.21846795,130,0.0860999999999999,47.7460289,48.0507889,44.3142891,0
123,2026-02-17,04:26:21.44,1771302381440499857,,228.600006,228.100006,228.699997,16.4799995,17.8999996,17.3199997,10240,33565,16.4924507,25.3692303,2,3.54920793,899.999878,4.19999981,60,292,115,-9.40802001953125,440.579023701804,-2.3,-3.21890626634058,3.21846795,130,0.0700000003,3.21846795,130,0.0860999999999999,47.4349213,48.0539703,44.4063492,0
124,2026-02-17,04:26:21.54,1771302381540500138,,228.600006,228.100006,228.699997,16.4799995,17.8999996,17.3199997,10240,33565,16.4924507,25.3692303,2,3.54920793,899.999878,4.19999981,60,292,115,-9.72982788085938,440.25732755661,-2.8,-3.19617135184558,3.21846795,130,0.0700000003,3.21846795,130,0.1189,47.4539719,48.1365089,44.3396797,0
125,2026-02-17,04:26:21.64,1771302381640501563,,228.600006,228.100006,228.699997,16.4799995,17.8999996,17.3199997,10240,33565,16.4924507,25.3692303,2,3.54920793,899.999878,4.19999981,60,292,115,-10.0519409179688,439.935066359384,-2.1,-3.23108264379357,3.21846795,130,0.0700000003,3.21846795,130,0.0860999999999999,47.4761887,48.1047592,44.4444504,0
126,2026-02-17,04:26:21.74,1771302381740502231,,228.600006,228.100006,228.699997,16.4799995,17.8999996,17.3199997,10240,33565,16.5505199,25.4615402,2,3.54920793,899.999878,4.19999981,60,292,115,-10.3738708496094,439.613225460052,-2.3,-3.2091992242158094,3.21846795,130,0.0700000003,3.21846795,130,0.0902,48.0666695,48.1841316,44.4380989,0
127,2026-02-17,04:26:21.84,1771302381840505151,,228.600006,228.100006,228.699997,16.4799995,17.8999996,17.3199997,10240,33565,16.4924507,25.3692303,2,3.54920793,899.999878,4.19999981,60,292,115,-10.6954650878906,439.291551453727,-1.9,-3.23525496892785,3.21846795,130,0.0700000003,3.21846795,130,0.0860999999999999,47.4095192,48.1333389,44.39048,0
128,2026-02-17,04:26:21.94,1771302381940503413,,229.0,228.399994,229.100006,14.4799995,15.6199999,14.6999998,6848,33565,16.4343796,25.2769203,2,3.54920793,899.999878,4.19999981,60,292,115,-11.0172424316406,438.969811201096,-2.5,-3.21430819374768,3.21846795,130,0.0700000003,3.21846795,130,0.0942999999999999,47.3269806,48.1523819,44.4571419,0
