File_ID,RawTime,IMotor,Kafa_Act_Trq,X_Accelerometer,Y_Accelerometer,Z_Accelerometer
cutting_2,1771293032531782105,30.5538502,-2.3,48.1936493,44.4952393,47.4857101
cutting_2,1771293032631783674,30.4615402,-2.1,48.7206306,44.7238083,47.6063499
cutting_2,1771293032731784224,30.5538502,-2.4,48.2634888,44.6507912,47.5746002
cutting_2,1771293032831786777,30.3692303,-2.5,48.2920609,44.5492096,47.6031799
cutting_2,1771293032931785587,30.3692303,-2.3,48.2444496,44.5174599,47.4984093
cutting_2,1771293033031785987,30.4615402,-2.1,48.0952415,44.7269897,47.5777817
cutting_2,1771293033131787300,30.3692303,-2.0,48.1809502,44.5015907,47.6158791
cutting_2,1771293033231788756,30.5538502,-1.9,48.4857101,44.7650795,47.6127014
cutting_2,1771293033331790710,30.5538502,-2.1,48.3396797,44.8793602,47.4634895
cutting_2,1771293033431790569,30.5538502,-2.5,48.2539711,44.4507904,47.6539688
cutting_2,1771293033531791412,30.5538502,-2.8,48.0920601,44.2825394,47.5650787
cutting_2,1771293033631792971,30.4615402,-2.6,48.0920601,44.4031792,47.4539719
cutting_2,1771293033731793178,30.4615402,-2.3,47.831749,44.3714294,47.4507904
cutting_2,1771293033831794109,30.4615402,-2.1,48.2730217,44.526989,47.5682602
cutting_2,1771293033931794869,30.3692303,-2.1,48.2444496,44.4793701,47.5968208
cutting_2,1771293034031795936,30.5538502,-2.2,48.1745987,44.5174599,47.5174599
cutting_2,1771293034131797013,30.4615402,-2.2,48.165081,44.4984093,47.4285698
cutting_2,1771293034231798265,30.5538502,-1.8,48.4444504,44.5746002,47.5460281
cutting_2,1771293034331800197,30.5538502,-1.9,48.1936493,44.30476,47.5682602
cutting_2,1771293034431800639,30.5538502,-1.9,48.2095299,44.5142899,47.5841293
cutting_2,1771293034531800859,30.4615402,-1.9,48.3809509,44.5587311,47.5746002
cutting_2,1771293034631802496,30.5538502,-2.4,48.3872986,44.4031792,47.5206299
cutting_2,1771293034731802757,30.4615402,-2.9,48.5936508,44.6920586,47.7523804
cutting_2,1771293034831803948,30.5538502,-2.6,48.1523819,44.3936501,47.5428581
cutting_2,1771293034931803693,30.5538502,-2.4,48.0888901,44.3396797,47.4825401
cutting_2,1771293035031805097,30.5538502,-2.5,48.1492119,44.6158791,47.4444504
cutting_2,1771293035131806334,30.6461506,-2.3,48.1142807,44.4952393,47.7301598
cutting_2,1771293035231807625,30.6461506,-2.1,48.0507889,44.6380997,47.4825401
cutting_2,1771293035331807816,30.5538502,-2.2,48.0603218,44.3396797,47.39048
cutting_2,1771293035431808594,30.5538502,-2.2,48.0222206,44.3745995,47.5206299
