File_ID,RawTime,IMotor,Kafa_Act_Trq,X_Accelerometer,Y_Accelerometer,Z_Accelerometer
cutting_B,1771287901344934486,27.4307709,-2.3,48.2507896,44.5682602,47.7238083
cutting_B,1771287901444934351,27.4307709,-2.6,48.3968315,44.8095207,47.6761894
cutting_B,1771287901544934615,27.4307709,-2.5,48.3587303,44.5872993,47.8730202
cutting_B,1771287901644935841,27.4307709,-2.4,48.2571411,44.5365105,47.7936516
cutting_B,1771287901744938190,27.4307709,-2.6,48.6825409,44.7999992,47.9396782
cutting_B,1771287901844937810,27.3384609,-1.9,48.6920586,45.1015892,47.3555603
cutting_B,1771287901944938118,27.3384609,-2.1,47.7460289,45.0634918,47.6571388
cutting_B,1771287902044939441,27.3384609,-2.0,48.3111115,44.3936501,47.3777809
cutting_B,1771287902144940028,27.3384609,-2.0,48.2571411,44.2412682,47.4984093
cutting_B,1771287902244942671,27.4307709,-2.4,47.8507996,44.4031792,47.7619095
cutting_B,1771287902344942154,27.5230808,-2.7,48.1428604,44.4793701,47.5746002
cutting_B,1771287902444943153,27.4307709,-2.8,48.3238106,44.6222191,47.5936508
cutting_B,1771287902544944555,27.3384609,-2.5,48.3682594,44.530159,47.6825409
cutting_B,1771287902644945080,27.2461491,-2.3,48.4539719,44.6158791,47.8095207
cutting_B,1771287902744947182,27.4307709,-2.2,48.3301582,44.6349182,47.7523804
cutting_B,1771287902844946512,27.3384609,-2.6,48.1428604,44.469841,47.7111092
cutting_B,1771287902944947581,27.2461491,-2.2,48.3396797,44.6254005,47.7523804
cutting_B,1771287903044948681,27.2461491,-2.1,48.1142807,44.4920692,47.5746002
cutting_B,1771287903144949351,27.4307709,-1.9,48.1460304,44.5238113,47.5999985
cutting_B,1771287903244952460,27.4307709,-1.7,48.0063515,44.6222191,47.4412689
cutting_B,1771287903344951583,27.3384609,-2.3,48.1365089,44.4761887,47.5396805
cutting_B,1771287903444952318,27.2461491,-2.3,48.1206398,44.473011,47.6698418
cutting_B,1771287903544953028,27.2461491,-2.4,48.3301582,44.5206299,47.9873009
cutting_B,1771287903644954867,27.3384609,-2.5,47.831749,44.6380997,47.8031807
cutting_B,1771287903744959405,27.3384609,-2.3,48.1333389,44.3745995,47.5809517
cutting_B,1771287903844956944,27.1538506,-2.5,48.1301613,44.4222183,47.6825409
cutting_B,1771287903944957006,27.1538506,-2.3,48.1841316,44.4349213,47.6254005
cutting_B,1771287904044957607,27.3384609,-2.1,48.3142891,44.5999985,47.7047615
cutting_B,1771287904144958682,27.4307709,-2.2,48.161911,44.60952,47.4634895
cutting_B,1771287904244966082,27.5230808,-2.0,47.9174614,44.8126984,47.5619011
cutting_B,1771287904344960844,27.2461491,-1.8,48.139679,44.7396889,47.6888885
cutting_B,1771287904444964814,27.2461491,-2.0,48.4000015,44.6761894,47.6603203
cutting_B,1771287904544962178,27.1538506,-2.1,48.4127007,44.5587311,47.60952
cutting_B,1771287904644963972,27.2461491,-2.7,48.1745987,44.4000015,47.6349182
cutting_B,1771287904744966114,27.3384609,-2.9,48.1492119,44.4507904,47.6698418
cutting_B,1771287904844965596,27.2461491,-2.3,48.3492088,44.5841293,47.69524
cutting_B,1771287904944962310,27.2461491,-2.3,48.1714287,44.4380989,47.8190498
cutting_B,1771287905044967244,27.3384609,-2.6,48.1873016,44.4984093,47.4857101
cutting_B,1771287905144968241,27.3384609,-2.4,48.2793694,44.1238098,47.6222191
cutting_B,1771287905244970283,27.2461491,-2.5,48.0381012,44.5968208,47.69841
cutting_B,1771287905344970156,27.1538506,-2.2,48.1745987,44.5936508,47.4825401
cutting_B,1771287905444970891,27.1538506,-1.8,48.1523819,44.3841286,47.5999985
cutting_B,1771287905544971184,27.2461491,-2.1,48.0444489,44.3872986,47.4857101
cutting_B,1771287905644972804,27.2461491,-2.1,48.1238098,44.4857101,47.8126984
cutting_B,1771287905744975536,27.1538506,-2.1,48.1809502,44.4476204,47.6031799
cutting_B,1771287905844974627,27.1538506,-2.8,48.0920601,44.3745995,47.4761887
cutting_B,1771287905944974865,27.3384609,-2.4,48.1428604,44.4412689,47.7333298
cutting_B,1771287906044978463,27.1538506,-2.4,48.1365089,44.4920692,47.7396889
cutting_B,1771287906144977465,27.2461491,-2.5,48.1174583,44.5079384,47.7460289
cutting_B,1771287906244980278,27.0769196,-2.3,48.1174583,44.5111084,47.6254005
cutting_B,1771287906344978621,27.1538506,-2.5,48.0349197,44.4127007,47.4349213
cutting_B,1771287906444980031,27.2461491,-2.4,48.079361,45.0857201,47.3777809
cutting_B,1771287906544980896,27.6000004,-2.5,48.3142891,44.1111107,47.7809486
cutting_B,1771287906644982698,27.6923103,-2.2,47.9492111,44.2190514,47.3777809
cutting_B,1771287906744984891,27.7846107,-1.9,48.3809509,44.0984116,47.3777809
cutting_B,1771287906844983770,27.9692307,-2.3,48.1174583,44.1492119,47.7365112
cutting_B,1771287906944984678,28.1384602,-2.8,48.2666702,44.8698387,48.0539703
cutting_B,1771287907044985647,28.1384602,-2.5,48.6571388,44.466671,47.3841286
cutting_B,1771287907144986555,28.1384602,-2.8,48.161911,44.3238106,47.1873016
cutting_B,1771287907244988124,28.3230801,-2.9,47.8444405,44.4634895,47.6603203
cutting_B,1771287907344987942,28.4153805,-2.5,48.6888885,44.2222214,47.4539719
cutting_B,1771287907444989719,28.5846195,-2.7,48.5746002,44.60952,47.7523804
cutting_B,1771287907544989771,28.5846195,-2.6,48.2190514,44.8730202,47.3936501
cutting_B,1771287907644990849,28.5846195,-2.8,48.3428612,44.7206306,47.7682495
cutting_B,1771287907744993197,28.7692299,-2.7,48.2158699,44.139679,48.0190506
cutting_B,1771287907844993544,28.9538498,-2.4,47.9523811,44.2380905,47.6730194
cutting_B,1771287907944994001,28.9538498,-1.9,48.0126991,44.39048,47.4000015
cutting_B,1771287908044994546,29.0307693,-2.5,48.2000008,44.2603188,47.1269798
cutting_B,1771287908144995547,28.8615398,-3.0,47.9936485,44.3301582,47.5111084
cutting_B,1771287908244996539,29.1230793,-2.8,48.2412682,44.1206398,48.6317482
cutting_B,1771287908344997541,29.2153893,-3.0,47.831749,44.7238083,48.0095291
cutting_B,1771287908444998282,29.2153893,-2.7,48.1015892,44.4190483,46.9365082
cutting_B,1771287908544999366,29.1230793,-3.0,48.2507896,43.2539711,47.5968208
cutting_B,1771287908645001008,29.3999996,-3.3,48.0190506,44.5872993,47.533329
cutting_B,1771287908745000623,29.5692291,-2.9,48.4317513,44.2952385,47.8095207
cutting_B,1771287908844997885,29.6615391,-3.1,48.2222214,44.5365105,47.7619095
cutting_B,1771287908945002618,29.5692291,-2.4,47.9492111,44.2730217,47.1174583
cutting_B,1771287909045003761,29.5692291,-2.3,48.1841316,44.2888908,47.7777786
cutting_B,1771287909145007333,29.6615391,-2.7,48.139679,44.7301598,47.6698418
cutting_B,1771287909245005672,29.6615391,-2.5,48.2984085,44.5428581,47.39048
cutting_B,1771287909345006374,29.5692291,-3.0,48.30159,44.3968315,47.7269897
cutting_B,1771287909445007902,29.5692291,-3.4,48.3523788,44.7238083,47.473011
cutting_B,1771287909545008434,29.5692291,-2.8,48.30159,44.2952385,47.6666718
cutting_B,1771287909645009528,29.8461494,-3.1,48.1238098,44.8952408,48.1269798
cutting_B,1771287909745010450,30.2000008,-3.0,48.4285698,44.4127007,47.6539688
cutting_B,1771287909845011307,30.2923107,-2.9,48.4888916,44.5523796,48.0634918
cutting_B,1771287909945012498,30.2923107,-3.3,47.7809486,44.7460289,47.5936508
cutting_B,1771287910045012971,30.2923107,-3.0,48.1841316,44.2666702,47.5174599
cutting_B,1771287910145014065,30.3692303,-2.3,48.0984116,44.5428581,47.7619095
cutting_B,1771287910245014876,30.2000008,-2.5,48.0507889,44.4539719,47.4634895
cutting_B,1771287910345015884,30.2000008,-2.7,48.2031708,44.6317482,47.3968315
cutting_B,1771287910445016721,30.0153809,-2.9,48.0730209,44.7428589,47.9365082
cutting_B,1771287910545017770,30.2000008,-3.4,48.0952415,44.2412682,47.8507996
cutting_B,1771287910645019811,30.3692303,-3.5,48.30476,44.6920586,48.0539703
cutting_B,1771287910745019312,30.6461506,-3.1,48.2920609,44.7206306,48.0634918
cutting_B,1771287910845020244,30.7384605,-3.4,48.2000008,44.7238083,47.9746094
cutting_B,1771287910945021660,30.8153801,-3.2,48.2984085,44.2571411,46.9079399
cutting_B,1771287911045022363,30.8153801,-3.1,48.1936493,44.3745995,47.69524
cutting_B,1771287911145023130,30.7384605,-3.2,48.1904793,44.6603203,47.3428612
cutting_B,1771287911245024401,30.7384605,-2.7,48.1745987,44.3619003,47.5746002
cutting_B,1771287911345025038,30.8153801,-2.8,48.3079414,44.7587318,47.9238091
cutting_B,1771287911445025903,30.6461506,-2.5,48.2126999,44.1269798,47.4031792
cutting_B,1771287911545026957,30.8153801,-2.6,48.0730209,44.3745995,47.9873009
cutting_B,1771287911645027861,31.0,-3.1,47.8666687,44.4158707,47.7174606
cutting_B,1771287911745029591,31.0,-3.3,48.2920609,44.3555603,47.7174606
cutting_B,1771287911845029583,31.1846199,-3.5,47.99683,44.6444397,47.6698418
cutting_B,1771287911945030596,31.3538494,-3.2,48.3301582,44.2095299,47.2444496
cutting_B,1771287912045027312,31.4461498,-3.2,48.2444496,44.4603195,47.6825409
cutting_B,1771287912145032293,31.3538494,-3.2,48.0412712,44.8254013,47.9015884
cutting_B,1771287912245033811,31.4461498,-3.6,48.2412682,44.2000008,47.469841
cutting_B,1771287912345034153,31.2769203,-3.0,48.1523819,44.3682594,48.4412689
cutting_B,1771287912445035285,31.3538494,-2.7,48.2031708,44.3587303,47.7904816
cutting_B,1771287912545036050,31.1846199,-2.8,48.2031708,44.3619003,47.8412704
cutting_B,1771287912645037490,31.3538494,-2.7,47.9174614,44.6380997,47.469841
cutting_B,1771287912745037568,31.2769203,-3.0,48.39048,44.2730217,47.6158791
cutting_B,1771287912845038817,31.4461498,-3.2,48.1777802,44.4253998,47.4444504
cutting_B,1771287912945039618,31.6307697,-3.4,48.1492119,44.7619095,47.1809502
cutting_B,1771287913045041143,32.0769196,-3.5,47.9269791,44.5968208,47.7047615
cutting_B,1771287913145041624,31.9846191,-3.3,47.9269791,45.2190514,47.3936501
cutting_B,1771287913245042132,31.8923092,-3.2,47.9873009,44.2888908,47.9301605
cutting_B,1771287913345043433,31.7230797,-3.5,48.1745987,44.7174606,47.99683
cutting_B,1771287913445044824,31.7999992,-3.0,48.3936501,44.4222183,48.0666695
cutting_B,1771287913545045346,31.6307697,-3.5,48.30159,44.3174591,48.1079407
cutting_B,1771287913645046425,31.4461498,-3.2,47.9587288,44.6793709,47.3111115
cutting_B,1771287913745047227,31.5384598,-2.5,48.0952415,44.2444496,47.5777817
cutting_B,1771287913845048140,31.7999992,-3.2,48.1745987,44.5079384,47.6317482
cutting_B,1771287913945049184,31.9846191,-3.0,48.2031708,44.2380905,47.5428581
cutting_B,1771287914045049726,32.246151,-3.9,48.1841316,44.2952385,47.7650795
cutting_B,1771287914145050720,32.5230789,-3.9,48.0666695,45.1841316,48.2444496
cutting_B,1771287914245052267,32.1692314,-3.2,48.4222183,44.4444504,47.6349182
cutting_B,1771287914345051909,32.246151,-3.4,48.2761917,44.5936508,47.1841316
cutting_B,1771287914445053377,32.1692314,-3.6,48.3301582,44.168251,47.3555603
cutting_B,1771287914545054504,32.246151,-3.0,48.5619011,44.530159,47.9619102
cutting_B,1771287914645055765,31.8923092,-3.5,48.0158691,45.3682594,48.1238098
cutting_B,1771287914745056684,31.8923092,-3.1,48.2412682,44.2190514,47.4063492
cutting_B,1771287914845057052,32.0769196,-2.8,48.1904793,44.2380905,47.5206299
cutting_B,1771287914945058129,32.338459,-3.0,48.0888901,44.1460304,47.2476196
cutting_B,1771287915045058907,32.5230789,-3.0,48.2984085,44.6920586,47.6888885
cutting_B,1771287915145059885,32.7846107,-3.1,47.99683,44.8920593,47.8444405
cutting_B,1771287915245062789,32.6923103,-3.7,48.2158699,44.3523788,47.4920692
cutting_B,1771287915345061573,32.6923103,-3.5,48.2000008,44.0444489,47.2222214
cutting_B,1771287915445063115,32.6153793,-3.5,47.9047585,44.530159,47.469841
cutting_B,1771287915545064108,32.5230789,-3.5,48.1142807,44.5682602,47.7555618
cutting_B,1771287915645064896,32.4307709,-3.3,48.0349197,44.9428596,47.6254005
cutting_B,1771287915745066275,32.338459,-3.5,48.2000008,44.4444504,47.3492088
cutting_B,1771287915845066795,32.4307709,-3.5,48.2793694,44.4444504,47.6380997
cutting_B,1771287915945066987,32.4307709,-3.1,48.161911,44.4761887,47.69841
cutting_B,1771287916045068405,32.6153793,-3.0,48.161911,44.4158707,47.7904816
cutting_B,1771287916145069776,32.6153793,-2.9,48.0539703,44.7523804,48.2888908
cutting_B,1771287916245070542,33.0615387,-3.0,48.2730217,44.8698387,47.69841
cutting_B,1771287916345071284,33.0615387,-3.7,47.9460297,44.2984085,47.3079414
cutting_B,1771287916445071686,32.9692307,-3.6,48.1269798,44.4634895,47.5904808
cutting_B,1771287916545073190,32.7846107,-3.4,48.1904793,44.7587318,47.831749
cutting_B,1771287916645074026,32.7846107,-3.6,48.2412682,44.7650795,47.9015884
cutting_B,1771287916745077141,32.6153793,-3.4,48.3079414,44.5047607,47.3841286
cutting_B,1771287916845075365,32.5230789,-3.5,48.1873016,44.4507904,47.2476196
cutting_B,1771287916945077098,32.5230789,-3.7,48.1142807,44.3682594,47.5047607
cutting_B,1771287917045078259,32.6153793,-3.7,48.2095299,44.4444504,47.6412697
cutting_B,1771287917145078901,32.7846107,-3.2,48.2126999,44.3174591,47.6444397
cutting_B,1771287917245079208,33.2307701,-3.2,48.0317497,44.3745995,47.4285698
cutting_B,1771287917345079951,33.5076904,-3.0,47.9809494,44.1745987,47.1492119
cutting_B,1771287917445081330,33.3230782,-3.3,48.1714287,44.3682594,47.5714302
cutting_B,1771287917545082566,33.2307701,-3.8,48.3111115,44.8888893,47.8031807
cutting_B,1771287917645083346,33.0615387,-3.2,48.1777802,44.6222191,47.4793701
cutting_B,1771287917745084885,33.0615387,-3.8,48.4793701,44.6666718,47.7238083
cutting_B,1771287917845085085,32.7846107,-3.5,47.9460297,44.469841,47.2000008
cutting_B,1771287917945086064,32.6923103,-3.4,48.2571411,44.5365105,47.5809517
cutting_B,1771287918045086764,32.7846107,-3.9,48.3777809,44.7999992,47.8158684
cutting_B,1771287918145087189,33.1384583,-3.7,48.2603188,44.6603203,47.8539696
cutting_B,1771287918245089789,33.3230782,-3.5,48.2984085,44.4031792,47.5841293
cutting_B,1771287918345088936,33.7692299,-3.3,48.0095291,44.3079414,47.1301613
cutting_B,1771287918445090268,33.7692299,-2.8,48.4920692,44.30476,47.533329
cutting_B,1771287918545091351,33.5999985,-3.4,48.5936508,45.3206406,48.0063515
cutting_B,1771287918645092628,33.5076904,-3.1,48.2412682,44.6349182,47.3841286
cutting_B,1771287918745093135,33.5999985,-3.2,48.1301613,45.1587296,47.4412689
cutting_B,1771287918845094091,33.3230782,-4.3,48.0952415,44.7365112,47.6507912
cutting_B,1771287918945094866,33.1384583,-3.5,48.3333397,44.5142899,48.1365089
cutting_B,1771287919045096337,33.3230782,-3.6,48.3301582,44.8444405,48.0253983
cutting_B,1771287919145100479,33.41539,-3.6,48.228569,44.6730194,47.228569
cutting_B,1771287919245097755,33.5999985,-3.3,48.39048,44.3333282,48.2920609
cutting_B,1771287919345098904,33.7692299,-3.8,47.771431,44.9587288,47.7238083
