File_ID,RawTime,IMotor,Kafa_Act_Trq,X_Accelerometer,Y_Accelerometer,Z_Accelerometer
cutting_D,1771290843705992073,"27,2461491",-1.8,"48,228569","44,5428581","47,774601"
cutting_D,1771290843805993510,"27,1538506",-2.1,"48,2666702","44,5079384","47,6761894"
cutting_D,1771290843905994703,"27,2461491",-2.3,"48,3365097","44,5174599","47,6190491"
cutting_D,1771290844005995153,"27,2461491",-2.7,"48,8634911","44,1238098","47,8444405"
cutting_D,1771290844105995964,"27,2461491",-2.3,"48,5904808","44,6539688","47,4127007"
cutting_D,1771290844205997113,"27,2461491",-2.6,"48,5492096","44,60952","47,2634888"
cutting_D,1771290844305998662,"27,2461491",-2.2,"48,0888901","44,5650787","47,5777817"
cutting_D,1771290844405999541,"27,2461491",-2.1,"48,1714287","43,8952408","47,3968315"
cutting_D,1771290844505999544,"27,0769196",-2.4,"48,228569","44,4253998","47,4127007"
cutting_D,1771290844606000457,"27,1538506",-2.6,"48,2317505","44,6412697","47,1777802"
cutting_D,1771290844706001325,"27,1538506",-2.6,"48,2571411","44,4444504","47,30476"
cutting_D,1771290844806002462,"27,3384609",-2.3,"48,1904793","44,4825401","47,8158684"
cutting_D,1771290844906003798,"27,1538506",-2.1,"48,2793694","44,5936508","48,0317497"
cutting_D,1771290845006003979,"27,1538506",-2.4,"48,1555595","44,5142899","47,4825401"
cutting_D,1771290845106005831,"27,1538506",-2.1,"48,0952415","44,4507904","47,4412689"
cutting_D,1771290845206006075,"27,1538506",-2.5,"48,2730217","44,6730194","47,7047615"
cutting_D,1771290845306007420,"27,1538506",-2.4,"48,2793694","44,6317482","47,6888885"
cutting_D,1771290845406008250,"27,1538506",-2.3,"48,1904793","44,4444504","47,4412689"
cutting_D,1771290845506009214,"27,1538506",-2.5,"48,0063515","44,3714294","47,469841"
cutting_D,1771290845606010287,"27,2461491",-2.1,"48,30159","44,6158791","47,3936501"
cutting_D,1771290845706011440,"27,2461491",-2.3,"48,6857109","44,5428581","47,6158791"
cutting_D,1771290845806011831,"27,3384609",-2.3,"48,3174591","44,4031792","47,6920586"
cutting_D,1771290845906012790,"27,1538506",-2.3,"48,2349205","44,473011","47,4984093"
cutting_D,1771290846006013811,"27,1538506",-2.5,"48,165081","44,5174599","47,6317482"
cutting_D,1771290846106015123,"27,0769196",-2.0,"48,1523819","44,526989","47,526989"
cutting_D,1771290846206015767,"27,1538506",-2.1,"48,0634918","44,4507904","47,5555611"
cutting_D,1771290846306016367,"27,1538506",-2.3,"47,9714317","44,771431","47,6634903"
cutting_D,1771290846406018787,"26,9846191",-2.5,"48,0857201","44,6571388","47,6634903"
cutting_D,1771290846506018110,"27,0769196",-3.2,"48,1047592","44,6507912","47,6317482"
cutting_D,1771290846606019373,"27,1538506",-2.4,"48,4158707","44,6031799","47,6698418"
cutting_D,1771290846706017579,"27,2461491",-2.1,"48,1142807","44,3460312","47,473011"
cutting_D,1771290846806021246,"27,1538506",-2.1,"48,0095291","44,3714294","47,6031799"
cutting_D,1771290846906022349,"27,1538506",-2.4,"48,2539711","44,4253998","47,4920692"
cutting_D,1771290847006023269,"27,0769196",-3.0,"48,2730217","44,6031799","47,4984093"
cutting_D,1771290847106024029,"27,0769196",-2.6,"48,2444496","44,5809517","47,7396889"
cutting_D,1771290847206024876,"27,0769196",-2.0,"48,079361","44,4444504","47,4920692"
cutting_D,1771290847306025730,"27,1538506",-2.2,"47,9936485","44,39048","47,5777817"
cutting_D,1771290847406026611,"26,9846191",-2.1,"48,0666695","44,3968315","47,533329"
cutting_D,1771290847506027308,"27,1538506",-3.1,"48,161911","44,4825401","47,5492096"
cutting_D,1771290847606028542,"27,0769196",-2.5,"48,3174591","44,6349182","47,8984108"
cutting_D,1771290847706029948,"27,0769196",-2.2,"48,2095299","44,5428581","47,7999992"
cutting_D,1771290847806030676,"27,0769196",-2.3,"48,0857201","44,4031792","47,6285706"
cutting_D,1771290847906031344,"27,0769196",-2.2,"48,0666695","44,3523788","47,3396797"
cutting_D,1771290848006031917,"27,1538506",-2.5,"48,1142807","44,0317497","46,920639"
cutting_D,1771290848106032956,"27,5230808",-2.5,"48,1904793","44,5841293","47,0666695"
cutting_D,1771290848206035132,"27,6923103",-2.7,"48,4984093","44,1238098","47,4095192"
cutting_D,1771290848306035453,"27,6000004",-2.7,"47,8952408","45,2793694","48,5238113"
cutting_D,1771290848406035711,"27,8769207",-2.3,"48,079361","44,5746002","47,2920609"
cutting_D,1771290848506036666,"28,1384602",-2.5,"48,2222214","44,4222183","47,7174606"
cutting_D,1771290848606037528,"28,2307701",-2.8,"47,9460297","44,4539719","47,6349182"
cutting_D,1771290848706038390,"28,1384602",-2.8,"48,30159","44,4222183","47,2984085"
cutting_D,1771290848806039795,"28,4153805",-3.2,"48,3492088","44,6698418","48,5015907"
cutting_D,1771290848906040359,"28,4923096",-2.5,"47,8952408","44,473011","47,6634903"
cutting_D,1771290849006041381,"28,6769199",-2.5,"47,9904785","44,2380905","46,8666687"
cutting_D,1771290849106038466,"28,8615398",-2.8,"48,2571411","44,4127007","47,2825394"
cutting_D,1771290849206043821,"28,7692299",-2.7,"48,1587296","44,5650787","47,9269791"
cutting_D,1771290849306043758,"28,8615398",-3.0,"48,1460304","44,831749","47,5682602"
cutting_D,1771290849406045295,"29,0307693",-3.1,"48,2888908","44,2063484","47,7650795"
cutting_D,1771290849506045619,"28,9538498",-3.0,"47,9746094","44,3174591","47,3682594"
cutting_D,1771290849606046987,"29,0307693",-2.9,"48,0920601","44,4825401","47,5746002"
cutting_D,1771290849706047489,"29,1230793",-2.6,"48,1301613","44,4952393","47,9333305"
cutting_D,1771290849806048589,"29,3999996",-3.0,"48,0730209","44,5523796","47,3777809"
cutting_D,1771290849906049820,"29,5692291",-3.4,"48,7269897","44,0381012","47,3682594"
cutting_D,1771290850006050719,"29,8461494",-3.6,"48,4444504","44,8984108","47,860321"
cutting_D,1771290850106051210,"29,6615391",-2.7,"47,69841","44,3238106","47,3333397"
cutting_D,1771290850206053323,"29,5692291",-2.7,"48,1555595","44,5968208","48,8254013"
cutting_D,1771290850306053718,"29,7538509",-2.8,"48,00317","44,0920601","47,4539719"
cutting_D,1771290850406054387,"29,8461494",-3.3,"48,4507904","44,30476","48,0666695"
cutting_D,1771290850506055353,"29,7538509",-3.7,"48,2888908","44,4349213","48,0444489"
cutting_D,1771290850606056172,"29,9230804",-3.2,"47,7968292","44,8571396","47,5904808"
cutting_D,1771290850706057409,"29,9230804",-2.8,"47,9142914","44,4793701","48,0253983"
cutting_D,1771290850806058449,"30,1076908",-2.8,"47,9492111","44,7587318","47,6063499"
cutting_D,1771290850906058485,"30,3692303",-2.9,"48,2380905","43,9873009","47,0857201"
cutting_D,1771290851006060098,"30,4615402",-3.7,"48,2000008","44,7841301","47,7206306"
cutting_D,1771290851106060714,"30,4615402",-3.3,"48,0920601","44,6888885","47,6127014"
cutting_D,1771290851206061634,"30,4615402",-2.9,"48,2952385","44,4952393","47,0285683"
cutting_D,1771290851306063176,"30,6461506",-3.0,"47,920639","44,5904808","47,7460289"
cutting_D,1771290851406063728,"30,5538502",-3.0,"48,0539703","44,1142807","47,2000008"
cutting_D,1771290851506064190,"30,5538502",-3.5,"48,0730209","44,530159","47,6476212"
